knee_moment,thigh,shank,foot,thigh_,shank_,foot_,shank_new,shank_new_second derivative
8.03818460556158,202.42916539,183.54906004,26.52360406,34.7216494,30.33413293,11.02186673,0.061942783048961655,67.48300543005037
7.76536882756557,201.84472238,181.64435564,26.8887957,33.8372795,28.16518591,11.1525703,0.02869941999173833,-11.252792186070515
7.45492920614585,201.42905783,179.93297581,27.35276998,33.04144068,26.25129462,11.30107252,-0.00116979279398247,-116.47807843291655
7.11537791651147,200.65804186,177.77047309,27.68745333,31.9476914,23.58657403,11.4354213,-0.038912585341315364,-69.26416280092606
6.756450630653,199.95974793,175.64952135,28.22329503,30.9119225,21.09870462,11.76964312,-0.07593017648021824,47.159112293481975
6.38929150567453,199.22539418,173.49973612,28.78860978,29.84956106,18.57770777,12.12394137,-0.11345100695446167,-68.70451075896425
6.0263311267646,198.7362346,171.6362687,29.54158554,28.88237649,16.31685186,12.65002099,-0.14597464893710582,-130.02603618122964
5.68048353412965,197.49137877,168.8353513,30.34414764,27.61750373,13.31060113,13.45129339,-0.1948598796435044,144.58903029861273
5.36313859430565,196.87087259,166.87802174,31.02416008,26.48323044,10.72408136,13.81096537,-0.22902172501211637,142.81310542483325
5.08184322734287,196.34659963,164.9994006,31.98016464,25.40791792,8.29097901,14.59451719,-0.26180984930268586,-122.17001251202983
4.83950387980252,195.67712648,162.9380336,32.9696019,24.18889744,5.52168384999999,15.40788126,-0.2977874905446436,-67.83194561674036
4.63520166423306,194.64254274,160.46346729,34.03463325,22.84575293,2.49154177,16.23370877,-0.3409768202130703,32.26012135113256
4.46537841771107,194.06989078,158.60939704,35.20359014,21.73271928,0.066937519999982,17.35378498,-0.37333645063884485,10.481183869098754
4.32483752348452,193.00925359,156.11237086,36.53795431,20.33263229,-3.03220042999999,18.4718768,-0.4169177789883415,30.156170571088392
4.20756214158806,192.4339803,154.34081324,37.7237271,19.21283086,-5.38346316000002,19.62195986,-0.44783729234613623,18.754091647444415
4.10736054189291,191.39306703,151.93405656,39.19503671,17.80242081,-8.43775151,20.87803094,-0.4898431207065038,25.40104022265348
4.01835119511608,190.7834408,150.17968247,40.40927646,16.64995656,-10.77382548,22.05636428,-0.5204627248886832,35.789836833129925
3.93529759250965,189.76851413,147.9012795,41.94514269,15.23771984,-13.7432313,23.39011411,-0.5602283584024008,34.515524822359374
3.85380412182507,189.15236337,146.22361236,43.12759621,14.08577321,-15.9781548,24.5307472,-0.5895091737479171,32.09944110420641
3.77039810921268,188.15992791,144.06626183,44.68468516,12.68603824,-18.83262507,25.89941026,-0.6271620436160619,28.438155721886016
3.6825334887518,187.52648485,142.4514585,45.82606073,11.52317936,-21.0063107,26.99400385,-0.6553456784967304,36.880761863405894
3.58854461683669,186.5384642,140.39418279,47.37504046,10.14560574,-23.71025334,28.3413908,-0.6912519132575343,55.81872918352886
3.48756706964283,185.90816286,138.89061584,48.41820797,8.98374826,-25.78988286,29.34809761,-0.7174941070592031,47.86944035508611
3.37943701321163,184.98096401,137.04192151,49.83999553,7.62881781999999,-28.3500645,30.6031512,-0.7497599099806539,73.66427223555405
3.26457865225602,184.33247566,135.60404487,50.82825999,6.46057793,-30.34741234,31.53832639,-0.7748555915861672,28.454713660504005
3.14388733237684,183.60474289,134.11172542,51.90031507,5.20565566000002,-32.54836538,32.56125272,-0.8009014794802181,22.505111387929322
3.01861412063779,182.69883112,132.4805074,53.19643625,3.89950973999998,-34.84302089,33.66492835,-0.8293716047470809,111.41486081958973
2.89025612861137,182.11539208,131.31047412,53.91257141,2.82146681,-36.50582551,34.33090942,-0.8497925378409893,5.80359849932206
2.76045546645065,181.42209886,129.99533006,54.78245563,1.58454221,-38.49725055,35.18879405,-0.8727461318260357,-5.696265986314675
2.63090852334546,180.49272161,128.54247499,55.97751041,0.243188969999977,-40.74463184,36.24118241,-0.8981032363518283,99.02315228480174
2.50328626572428,179.88861566,127.47751552,56.57751032,-0.845569720000015,-42.28950569,36.78365555,-0.9166902855036219,42.030786917734986
2.37916544485623,179.1908332,126.34183673,57.26598588,-2.06259715000002,-44.09280732,37.46872981,-0.9365116196341872,21.239836692023005
2.25997002278294,178.33750301,125.20051965,58.14618524,-3.33368583000001,-46.03887957,38.28712863,-0.9564313604894346,70.8580096911493
2.14692175833987,177.71081032,124.26289377,58.61176001,-4.43235670999999,-47.45807431,38.69422922,-0.9727960192473437,54.59884352015054
2.04099872286588,177.01598957,123.32951027,59.10710288,-5.62222455,-49.07696685,39.2051132,-0.9890866345061323,51.0557116922028
1.94290050543498,176.32422919,122.49677914,59.53616317,-6.79117567,-50.62945356,39.66281482,-1.0036205345084852,59.099328585396904
1.85301898677188,175.63317315,121.75102857,59.89989568,-7.94875471,-52.06783635,40.04352997,-1.0166363373536098,56.89563049326885
1.77141377683151,174.96366332,121.06927872,60.20101844,-9.07083417999999,-53.43409415,40.3664554,-1.028535116911087,59.90438439215539
1.69779168680319,174.27879403,120.49853482,60.47223466,-10.18209945,-54.70496629,40.65725581,-1.0384964771517604,52.555909450753276
1.63148990611482,173.65318338,119.98500514,60.56615633,-11.24522307,-55.76242831,40.72590938,-1.0474592608744733,50.564413725073805
1.57146285284976,173.01556885,119.54716425,60.61524872,-12.33018209,-56.92716047,40.8447733,-1.0551010260048357,61.295598556228015
1.51627294259496,172.38995928,119.19044431,60.65803771,-13.40443369,-57.99900526,40.96032347,-1.0613269634653522,68.11646570073826
1.46408575507575,171.80938912,118.94699159,60.55685449,-14.42775344,-58.89578036,40.89697251,-1.0655760150022882,37.67097189954826
1.41267025628105,171.24976891,118.78616208,60.38508138,-15.44138938,-59.74001046,40.78483453,-1.0683830194861572,52.381589455725575
1.35940486452257,170.72314381,118.5626577,60.12198898,-16.33969484,-60.1843646,40.36060221,-1.0722839068097858,110.80933628890399
1.3012902510085,170.20036876,118.68200425,59.89087892,-17.45467596,-61.30071311,40.47630709,-1.0702009165613897,73.60014883883493
1.2349698458611,169.72153442,118.81321454,59.37481315,-18.31214477,-61.57576718,39.87389431,-1.067910864988393,36.6401978966091
1.15675907649277,169.22956504,118.99954421,58.83854493,-19.22252077,-62.0273643,39.375075,-1.0646587987527387,55.0294459172207
1.0626843992686,168.84806333,119.27370425,58.50910479,-20.28548607,-62.94243523,39.36599892,-1.0598738033773394,52.09148780877859
0.948533201272898,168.42663321,119.63237967,57.79926461,-21.07341379,-62.96912862,38.5450764,-1.0536137363523657,188.27951363392657
0.809915647409528,167.99558409,120.0326562,57.071704,-21.90960288,-63.1365791,37.80676959,-1.0466275929854079,162.81739037811383
0.64233953361429,168.20851541,121.34397728,56.24625995,-22.72694087,-63.3461553,37.26204729,-1.0237407225886,-136.79433051801527
0.441299184398985,167.75065355,121.72448308,55.47929667,-23.54799675,-63.39192122,36.40675631,-1.017099643555665,-97.40125969881719
0.202379394542896,167.32950925,122.27180111,54.5931388,-24.34323267,-63.39758515,35.51077357,-1.0075471418766357,63.011368912010425
-0.0786246619141002,166.92552814,122.85824185,53.69172494,-25.13727921,-63.37450506,34.61720537,-0.9973118200958038,62.56213163451929
-0.405570790912253,166.55953171,123.56065349,52.70979305,-25.90195144,-63.26867851,33.66340168,-0.9850524242734705,69.9118544863353
