knee_moment,thigh,shank,foot,thigh_,shank_,foot_,shank_new,shank_new_second derivative
4.68588787480851,200.36226645,178.3235316,25.81322484,27.11791511,16.75829039,11.68725699,-0.029259893385641386,74.98920926660534
4.47512355212385,199.7936596,176.76369137,26.10867161,26.33095428,14.81205523,11.85426042,-0.05648424120420687,41.756618381526685
4.23028995905419,199.45560572,175.4186794,26.60568129,25.69835155,13.23987543,12.16182464,-0.0799591285594421,-30.303368149547083
3.94918946070897,198.99955164,173.88325871,27.08836358,24.91836149,11.29019853,12.45898992,-0.10675727500318517,-198.9610770091252
3.63181903277943,198.527835,172.34020169,27.60464966,24.15777768,9.39764853000003,12.77633121,-0.1336887005481975,-140.91636013358251
3.2827601766551,197.40541088,169.86286305,28.47230989,23.30146836,7.25221853000002,13.37013417,-0.176926416503076,182.63386568658174
2.91377618823515,197.06676926,168.45433271,29.20642485,22.54904366,5.38442269999999,13.94535839,-0.20150990855031117,13.659812409419203
2.54436360202021,196.62610266,166.88888236,29.92407202,21.74635564,3.38865735000002,14.43043836,-0.22883217143430865,-133.43928235157892
2.19744850031222,195.7101941,164.64672869,30.91364298,20.88923998,1.25431626,15.05567517,-0.2679651353114829,49.89901043840481
1.89241041682523,195.32051705,163.1503509,31.81824746,20.08967965,-0.700237360000017,15.83282015,-0.2940818546006992,29.194384197491985
1.64126948950303,194.57029803,161.12502494,32.85440028,19.18194942,-2.93141054,16.48981531,-0.3294304610288142,-15.871978839077627
1.44908722559454,194.15105556,159.57909094,33.89361275,18.39454727,-4.84094142999999,17.41211522,-0.3564120993473405,-5.679304876642899
1.31560201199195,193.36769185,157.51238145,35.12743911,17.44402188,-7.16298194999999,18.29646305,-0.3924829846300532,-9.237484933405415
1.23668143409697,192.94274106,155.97529096,36.24190242,16.66110013,-8.99755564,19.29712466,-0.41931027458164616,-6.439083351955599
1.20557460459518,192.10807002,153.84681107,37.67778403,15.69256465,-11.34509229,20.37647719,-0.4564592567246328,13.939098250989623
