thigh,shank,foot,thigh_,shank_,foot_,knee_moment,shank_new,shank_new_second derivative
173.69117797,71.47217156,-62.00739311,-9.81159585999998,53.05520388,-44.17572154,0.31406809396694,-1.894167936317541,132.33026000228242
172.06062199,71.80004594,-65.01712651,-10.78064214,53.47247264,-48.00152258,0.277422991133422,-1.888445448853606,60.400455834790364
171.18698839,72.50701859,-67.86036955,-11.86378721,53.78652459,-52.09735679,0.244913015643489,-1.8761064483895569,-19.01182790873701
169.65865074,72.80186382,-70.53430487,-12.83384554,54.13322227,-55.50585808,0.215828383591657,-1.870960428342257,26.137783842494766
168.78189655,73.43293587,-73.03803523,-13.8629586,54.31692931,-59.05719119,0.189473838869015,-1.8599461432524464,-0.6026098308375971
167.75496542,73.95344017,-75.36080769,-14.81638383,54.50028374,-62.30993319,0.16529341903349,-1.8508616294466584,-71.24224043531191
166.64849394,74.35540045,-77.43899939,-15.76312185,54.64366056,-65.15238228,0.14296300662299,-1.8438460990984198,-47.721565588889625
165.55454581,74.69682855,-79.28538994,-16.67234094,54.74231909,-67.68325928,0.122465924492724,-1.8378870545945911,-25.80420604388234
164.52025336,75.0044406,-80.89425139,-17.54601256,54.78705621,-69.89010329,0.104088566534327,-1.832518211503282,-16.982261316080827
163.55695354,75.29236972,-82.29311209,-18.38979431,54.77923668,-71.85101459,0.0882485019703738,-1.827492900346912,-13.83647289097345
162.67251774,75.55617956,-83.4823682,-19.2017336,54.70828812,-73.55310506,0.075247795116928,-1.8228885500397525,-13.756254067898155
161.87663688,75.80863374,-84.48267768,-19.98370861,54.58296264,-75.02953983,0.0651533823180177,-1.8184823933883303,-21.01793204026592
161.14877087,76.02910099,-85.30969114,-20.74739085,54.39158891,-76.29677346,0.0578258912658421,-1.8146345139830127,-31.970115697297352
160.48268517,76.20447388,-85.97403476,-21.48708603,54.13084121,-77.37450577,0.0529861240541845,-1.8115736796337751,-42.015932420467195
159.86513385,76.31884715,-86.48911502,-22.21094831,53.79659117,-78.26726448,0.0502701567199705,-1.8095774894960026,-50.821657803519216
159.28663687,76.35958046,-86.86947438,-22.92134326,53.38032936,-78.98208763,0.0492733625910477,-1.8088665591212667,-58.28064524783905
158.74083898,76.31740666,-87.12371759,-23.61357628,52.87733828,-79.52993206,0.0495841364483245,-1.8096026307893445,-65.08453382938262
158.22033675,76.18076354,-87.25952469,-24.28664124,52.28862311,-79.91459754,0.0508084100296808,-1.8119875031335422,-66.50575543927894
157.7166864,75.94305926,-87.28304052,-24.94218043,51.60182028,-80.13758053,0.0525862291878274,-1.8161362254656246,-69.84811855271555
157.23963979,75.62089671,-87.22450067,-25.57848929,50.836701,-80.20103863,0.0546017324356803,-1.8217590226897455,-66.36568404016386
156.75560186,75.16851162,-87.02487067,-26.18545177,49.96778955,-80.16917047,0.0565878531439642,-1.8296546319971763,-78.82021046539566
156.44967706,74.68078252,-86.81228365,-26.69553154,49.16318153,-79.85567184,0.0583269858913303,-1.8381671106499653,-87.95312923265408
155.81131801,73.94235744,-86.36286828,-27.33957235,48.03947737,-79.78464767,0.0596487320580064,-1.8510550595752675,-65.48221582609371
155.4256612,73.23673402,-85.97970399,-27.82837165,46.9234492,-79.20031733,0.0604256885650608,-1.8633705115334505,-100.30536191043326
154.91968164,72.3410178,-85.44772459,-28.36393359,45.73577311,-78.80780168,0.0605680815417528,-1.8790037087359681,-70.90872023256756
154.36221497,71.21797813,-84.93599892,-28.82099405,44.48410737,-78.2168935,0.0600178857429812,-1.898604448607979,-8.475699329459907
154.12947111,70.33340112,-84.26295439,-29.18862862,43.27150456,-77.38969155,0.0587429201176749,-1.9140432299199255,-31.33776022002266
153.68571721,69.15066006,-83.50936159,-29.62324398,41.84660783,-76.84084283,0.0567312762799201,-1.9346859556154534,-66.93655331322378
153.48369826,68.1462323,-82.70215446,-29.94173666,40.52699071,-75.86610812,0.0539863225892404,-1.9522165271258851,-109.73481037227506
153.06529259,66.69982379,-81.94728991,-30.27988385,38.96496341,-75.23792368,0.0505224321906585,-1.9774611179542503,-46.813421909854824
152.77004688,65.33032933,-81.13248816,-30.53245461,37.46243047,-74.37862877,0.0463615073612947,-2.0013633053690723,12.841069730664678
152.55115877,63.98076637,-80.21702077,-30.76607126,35.91572122,-73.49002836,0.0415303131448806,-2.0249176224840326,-19.717858969734436
152.38405866,62.58800027,-79.28916361,-30.98518603,34.36172177,-72.65104083,0.0360585886734061,-2.049225976639193,-29.903303778406887
152.25487899,61.14873394,-78.32689408,-31.17479494,32.77174593,-71.80288134,0.0299778725331705,-2.0743459129107884,-27.8305682120239
152.1696852,59.6743379,-77.3612178,-31.31517011,31.13457091,-70.90424441,0.0233209563760212,-2.1000789782871543,-26.33576003020277
152.11299321,58.1572441,-76.37700071,-31.43689851,29.48715216,-70.03764205,0.0161218661372907,-2.1265572601587466,-22.00742202507655
152.10511018,56.60978274,-75.40894989,-31.51758002,27.82350594,-69.20760814,0.0084162608432582,-2.153565555938136,-20.13129779893319
