thigh,shank,foot,thigh_,shank_,foot_,knee_moment,shank_new,shank_new_second derivative
184.83664278,25.95103051,-2.67016516,20.9096738,3.94005971,44.46659338,0.288869632804842,-2.68866172690479,-52.00444649364755
184.96702915,26.14750545,-2.48155855,20.62491601,5.49869856999999,43.85714289,0.284272661589302,-2.6852325923041316,-30.664145159220446
185.37008835,26.48472755,-2.18701811,20.30842109,6.97989372,43.33179366,0.281123215763287,-2.6793469563486423,-2.3010351045060773
185.50640044,26.85925167,-2.18434372,19.91793643,8.53447818,42.41943416,0.27934110539459,-2.6728102773265077,8.755852599673375
185.52960115,27.00524063,-1.99858821,19.55390115,9.93304779,41.46791716,0.278847907364491,-2.6702622893029453,95.93179020707775
186.17966211,27.62116523,-1.70335827,19.24054142,11.36570133,41.30752032,0.279569517806181,-2.6595123770889164,14.885218549216539
186.29103763,28.07540238,-1.76304192,18.84105508,12.80498544,40.37579862,0.281442143538448,-2.6515844432365405,-23.347140249572185
186.48374502,28.46836481,-1.64575696,18.49015163,14.16013872,39.79388109,0.284418432892339,-2.6447259549964035,21.43768896136322
186.99218523,29.01179487,-1.32339039,18.18789065,15.3964829,39.40854592,0.288465855550096,-2.635241311195093,-17.746249525538715
187.03811374,29.4383933,-1.38431591,17.81609074,16.68270667,38.62647467,0.293558453366474,-2.6277957640077543,-50.74229942776842
187.14244682,29.84650884,-1.33744461,17.46631288,17.91791606,38.10874222,0.29967130354916,-2.6206728041061993,19.58953189114432
187.15253483,30.11768983,-1.24753469,17.13979034,19.03396066,37.39277333,0.30678199203909,-2.615939802961882,66.45004452956016
187.61600651,30.79346256,-1.04831191,16.81499396,20.20642129,37.38193224,0.314874790088598,-2.604145343828191,-27.588520715369214
187.56901734,31.17771707,-1.14577041,16.46928323,21.26789468,36.57953161,0.32394206603696,-2.5974388374630535,-40.10695062584446
187.5626851,31.5823457,-1.16965508,16.13511027,22.32121334,36.07093886,0.333979505717528,-2.59037673562172,14.774379669741933
187.59103416,32.00794841,-1.17727267,15.8271351,23.32237818,35.69463833,0.344976783114565,-2.5829485670268095,14.311465992244976
187.63121372,32.4558798,-1.18994597,15.51991472,24.27991184,35.35898362,0.356911734220435,-2.5751306894482746,11.171278328694356
187.67395389,32.92017841,-1.21441259,15.22056574,25.19275771,35.03609918,0.369752494751969,-2.567027149991341,6.920328222590477
187.71019792,33.39342061,-1.24839091,14.92677357,26.06194991,34.72553461,0.383460467361492,-2.55876751544196,28.579340641061712
187.73666399,33.87205897,-1.29380189,14.63861005,26.88491,34.4247862,0.397987124103643,-2.5504137001336136,13.262011730308387
187.8850304,34.49470898,-1.20196567,14.33341948,27.73560407,34.61925957,0.413271031790639,-2.539546407371539,-32.35817918449069
187.8521493,34.89992526,-1.3249177,14.06930254,28.43675411,34.02691742,0.429243121966623,-2.5324740491028552,-3.5043523572886315
187.82275151,35.41059864,-1.4521621,13.79535034,29.15627921,33.67561041,0.445835267443725,-2.523561117219567,15.698381410351736
187.79614007,35.90771309,-1.53450704,13.53340438,29.83361243,33.43134506,0.462983057088063,-2.5148848333078258,3.560283178494217
187.76831142,36.4164334,-1.62953021,13.28106292,30.48107055,33.21694708,0.480621505768481,-2.50600598892656,6.789363951513749
187.73493851,36.93589984,-1.73166203,13.02976899,31.09860852,33.03274248,0.49867997564506,-2.496939589194947,6.499782412694444
187.6950769,37.46116835,-1.84770999,12.78118773,31.68315533,32.86173805,0.517082353209937,-2.4877719242384013,8.99484751545998
187.64857153,38.0013276,-1.97447983,12.53488424,32.25012844,32.71288717,0.535749645127431,-2.4783443668407985,-15.797615595642966
187.54938036,38.55743998,-1.81436907,12.25170777,32.83890333,33.15968094,0.554601557611632,-2.468638374798697,-10.033714610138134
187.53383513,38.97624169,-2.12763508,12.10644112,33.28154241,32.66339464,0.573562743227934,-2.4613289060462145,40.54654844987127
187.45412596,39.59622266,-2.48345841,11.80690724,33.83505563,32.20078438,0.592574957811364,-2.450508196820006,27.11455386771533
187.39900137,40.18347039,-2.73322976,11.5718465,34.30313794,31.98874816,0.611605466216481,-2.4402587904066433,-21.28322383190273
187.30940009,40.79036029,-2.86165176,11.31821437,34.74383106,32.03648578,0.630644002692049,-2.429666563454544,-16.805405357658287
187.06291848,41.2687552,-2.74960095,11.07916423,35.19730545,32.42515305,0.649691383480783,-2.4213169971502624,22.748731426238677
186.96524908,41.88821004,-3.30993095,10.77431774,35.68038888,31.80243356,0.668750807587755,-2.4105054706248477,19.4252492846525
186.86798811,42.48438064,-3.69720175,10.50040918,36.0943231,31.42866176,0.687826856276867,-2.4001003307512576,3.656009251993275
186.75591628,43.09735827,-4.08952687,10.22664806,36.51311784,31.04346785,0.706922149188418,-2.389401852866686,-18.712186292098032
186.62137806,43.72095347,-4.51899566,9.9337026,36.92914883,30.58176502,0.726020598600109,-2.3785180634270535,-17.930575493179113
186.15808517,44.19929357,-4.84356174000001,9.62690171,37.32253868,30.0670321,0.74506232051853,-2.3701694537377342,32.29912945991398
186.02710093,44.85479167,-5.46690943,9.26419476999999,37.76688918,29.32876924,0.763924561555387,-2.3587288536521673,35.83492566901825
185.75406724,45.48628925,-6.00202205,8.91206697000001,38.15100218,28.32098134,0.782414088653432,-2.347707141662791,16.440333092684334
185.57995442,46.19394887,-6.75906164,8.49521785000002,38.56593106,27.38611497,0.80026319862766,-2.3353561513103793,4.846486117480175
185.26700158,46.8674811,-7.49427628,8.10512725999999,38.95909146,25.81997065,0.817120118154363,-2.3236007962785794,8.053905609131107
184.93673594,47.56087439,-8.35719426999999,7.66284942999999,39.36333127,24.28226902,0.832535889817066,-2.3114988003568433,23.183651767864077
184.61945985,48.29481843,-9.31422509,7.19456227000001,39.77317723,22.55076892,0.845962228206942,-2.2986890603334547,22.415308961929448
184.28763832,49.06063245,-10.36122613,6.70268543,40.18123542,20.64422602,0.856773728105273,-2.285323084226521,18.700621740483925
183.93402549,49.85058602,-11.51216223,6.18755586,40.5944944,18.53197156,0.864308074683278,-2.271535793492137,18.309786670416273
183.56400854,50.66753718,-12.77595721,5.63937817000001,41.02001543,16.24693642,0.867904057546552,-2.25727730592215,18.16247040957286
183.16360578,51.51126096,-14.14494254,5.07258902000001,41.45640746,13.8228872,0.866935282466061,-2.2425515479837776,17.751049180989575
182.74375583,52.3785052,-15.65399045,4.46489452,41.91590442,11.22252968,0.860858578089742,-2.227415280576822,17.724497487079383
182.30039089,53.27364192,-17.29848359,3.82454053999999,42.39756653,8.46889259,0.849277657863497,-2.2117921975573194,15.381836279910743
181.83239812,54.19102711,-19.07221058,3.15394383,42.8996461,5.60067366000001,0.831992078026332,-2.195780805482786,11.273968265892442
181.3239521,55.12415431,-21.0042402,2.44527592,43.42713648,2.56462734999999,0.809015348562967,-2.17949466350287,7.58885564862144
180.7775647,56.0681441,-23.08567343,1.70135010000001,43.97639761,-0.600404230000002,0.780581623153322,-2.1630189335621606,6.128835369456631
180.18838453,57.01814764,-25.32031971,0.925444850000019,44.54257846,-3.89664155,0.747151239920024,-2.1464382438835585,5.283359482537442
179.56891518,57.98037673,-27.71253105,0.112642730000005,45.12653878,-7.31747997,0.709396953643482,-2.1296441781045896,0.050478412623178315
178.91054991,58.94241239,-30.25660861,-0.732318630000009,45.7180624,-10.86104447,0.66816484221559,-2.1128534883159933,-5.8341592145261245
178.20497484,59.89289858,-32.94637546,-1.60514896999999,46.31005155,-14.51806914,0.624424787505135,-2.0962643748057563,-9.811378862067954
