knee_moment,thigh,shank,foot,thigh_,shank_,foot_,shank_new,shank_new_second derivative,T_physics,knee_moment_minus_T_physics
30.7001533912333,189.5880523,161.19272229,39.62374227,43.76146477,35.16485466,26.21511531,-0.3282489193764392,-43.15919638436263,-6.1841620338262056,36.884315425059505
30.5186216666907,189.03181921,159.187758,39.22210322,43.03949847,33.43792707,25.22578882,-0.3632421476218496,-65.48085970526421,-5.79845915488629,36.31708082157699
30.2141951899707,188.41957066,157.05915172,38.84596004,42.22427695,31.50302017,24.24680132,-0.4003933356864782,-87.13448778299106,-5.422817533156249,35.63701272312695
29.7687886812426,187.75065867,154.80265173,38.52625175,41.30857508,29.33763107,23.31991638,-0.439776690083197,-84.26378942794352,-5.057237168636085,34.82602584987869
29.1538461842574,187.02251832,152.42633731,38.27804728,40.29421838,26.95296985,22.47466949,-0.4812512007748163,-80.90352621770317,-4.701718061325796,33.855564245583196
28.3314886820506,186.2342241,149.93474951,38.12664335,39.18378807,24.35453741,21.74900308,-0.5247376114873387,-77.5902228363046,-4.356260211225383,32.68774889327598
27.2675324134294,185.38062513,147.32997984,38.08995294,37.97903881,21.55036846,21.17270846,-0.5701994184849248,-73.49812038141951,-4.020863618334845,31.288396031764243
25.9505115341471,184.47176528,144.62228806,38.22307676,36.68175724,18.54697462,20.80319848,-0.6174575551751108,-67.81181498914037,-3.6955282826541835,29.646039816801284
24.4008565680034,183.49483165,141.81250916,38.5233903,35.29195567,15.35950596,20.65998315,-0.6664974482331752,-73.5070198152787,-3.3802542041833976,27.7811107721868
22.6663244438047,182.46654554,138.92129353,39.0267284,33.81547693,11.99198727,20.74864748,-0.716958680361797,-38.55270525634502,-3.075041382922487,25.74136582672719
20.8112816596583,181.27981789,135.87387428,39.67003004,32.26916429,8.49856518999998,21.28951351,-0.7701461799629535,12.156652827126637,-2.7798898188714527,23.591171478529752
18.9081626901287,180.24715775,132.99940827,40.62722204,30.66416534,4.93901001,21.71603702,-0.8203150760741177,-33.24080091387849,-2.494799512030294,21.402962202158996
17.03362632913,179.11811124,130.00489189,41.75696443,28.99648571,1.25337439999998,22.48173552,-0.8725792464100192,-19.29168098233074,-2.219770462399011,19.253396791529013
15.2613241675841,177.81079023,126.88706725,42.93819669,27.29337357,-2.41485816000002,23.59659872,-0.9269955518778262,21.441851571622905,-1.954802669977603,17.216126837561703
13.6488598674914,176.70437382,124.02537631,44.47894956,25.518173,-6.20720444000001,24.7825422,-0.976941480955318,11.564167651284585,-1.699896134766071,15.34875600225747
12.2304279451839,175.34269482,120.89757899,45.9914215,23.73876387,-9.90710104000001,26.16471196,-1.0315318425243725,55.958247313275855,-1.455050856764415,13.685478801948314
11.019092527272,174.19138665,118.11211853,47.8006217,21.87994792,-13.75571147,27.73764831,-1.080147298735488,35.7074363484756,-1.2202668359726347,12.239359363244635
10.0119772809258,172.93859495,115.22870787,49.73463248,20.01261015,-17.54151285,29.45568706,-1.1304723084395911,15.279868909021666,-0.9955440723907305,11.00752135331653
9.19483674378844,171.65125284,112.40344929,51.64188855,18.11490777,-21.29316003,31.25451671,-1.1797823728808108,48.129998813799446,-0.7808825660187013,9.97571930980714
8.5459724703533,170.34779786,109.64738395,53.54580457,16.20818888,-24.96826717,33.06721137,-1.2278847874639076,2.8542940054189003,-0.5762823168565481,9.122254787209847
8.03949546595134,169.03506188,106.97054463,55.42849757,14.29142107,-28.57370642,34.88039623,-1.2746044471447535,43.60243845586087,-0.38174332490427076,8.421238790855611
7.64796299749628,167.44630703,104.08241393,56.90128029,12.41565773,-31.89882726,36.25949669,-1.3250118370876822,129.63175234057314,-0.1972655901618694,7.845228587658149
7.34442882239247,166.28129844,101.78746354,58.78839496,10.4743928,-35.42617895,38.15974099,-1.3650662775631102,94.0005205578931,-0.022849112629343082,7.367277935021813
7.10395118603789,164.91205155,99.26017914,60.62173527,8.59843683,-38.64533527,39.78885928,-1.4091757114773995,96.73945528106964,0.1415061076933073,6.962445078344583
6.90461478148802,163.70105446,97.14296576,62.19378717,6.63198839,-42.0584622,41.52906093,-1.4461280559256775,39.77661739429816,0.2958000708060817,6.608814710681938
6.72813442712355,162.44047959,94.9922206,63.82584305,4.71926303000001,-45.2416953,43.16541865,-1.4836656403390098,41.16925749237055,0.4400327767089802,6.2881016504145695
6.56011114520317,160.99148883,92.72637121,65.15233887,2.87109311,-48.12256052,44.37759909,-1.523212172548815,163.79335929721296,0.5742042254020054,5.985906919801165
6.39000881946313,159.85253052,90.96014453,66.4299366,0.967149449999994,-51.15431922,45.83357149,-1.554038643451383,122.47559522944762,0.6983144168851529,5.691694402577977
6.21091515739998,158.69870917,89.24824348,67.65494179,-0.889710699999995,-53.98829606,47.14393878,-1.5839169532422313,76.04682294278354,0.8123633511584245,5.398551806241556
6.01914491247246,157.54279347,87.62980193,68.74777623,-2.7227498,-56.69012378,48.32276108,-1.6121640870408116,98.55359413882604,0.9163510282218201,5.10279388425064
5.81373676347304,156.44173001,86.20583195,69.59756965,-4.53462094,-59.26159945,49.31517678,-1.6370170516413691,85.72226160005636,1.0102774480753416,4.803459315397698
5.59588833733061,155.35035497,84.86412983,70.41069136,-6.32251302999998,-61.73665549,50.27170012,-1.6604341712163575,87.70593999603004,1.0941426107189862,4.501745726611624
5.36836693562423,154.29667182,83.6545728,71.10746545,-8.06304431000001,-64.05038277,51.09859407,-1.6815449238805014,100.5669029895051,1.167946516152755,4.200420419471475
5.13492683203648,153.27631516,82.60097575,71.62337018,-9.78854655000001,-66.25973423,51.78148285,-1.6999336613923004,98.48270060993202,1.2316891643766477,3.903237667659832
4.89975772441513,152.29909949,81.67951956,72.02992449,-11.47751795,-68.33511244,52.36237749,-1.716016105820683,98.5364462789251,1.2853705553906654,3.6143871690244644
4.6669831739379,151.36461719,80.90208598,72.31729622,-13.13411846,-70.28733145,52.83753433,-1.72958488150725,104.93465925579758,1.328990689194808,3.3379924847430917
4.4402227219878,150.47437975,80.26903857,72.47337938,-14.75473164,-72.10718645,53.19054725,-1.7406336431329723,114.73486102931972,1.3625495657890747,3.077673156198725
4.22222686897141,149.64169125,79.80442752,72.51937196,-16.33875175,-73.80307024,53.45752156,-1.74874263569662,102.67676345439014,1.3860471851734646,2.836179683797946
4.01459020680938,148.9117511,79.51593991,72.51704819,-17.89925914,-75.40252542,53.69460461,-1.7537776943423296,92.50076611297064,1.3994835473479794,2.615106659461401
3.81754467167453,148.12752989,79.29506358,72.18035938,-19.34897975,-76.63724756,53.4553173,-1.757632713540551,86.07048620176138,1.4028586523126192,2.414686019361911
3.62983207168806,147.5195217,79.2928316,72.05090747,-20.91336022,-78.22319298,53.7163081,-1.7576716689403895,66.5693883984786,1.3961725000673821,2.2336595716206777
3.44865268646784,146.81799431,79.2788472,71.62390391,-22.37397351,-79.47224403,53.47847911,-1.7579157427643055,164.55259497512253,1.37942509061227,2.06922759585557
