knee_moment,thigh,shank,foot,thigh_,shank_,foot_,shank_new,shank_new_second derivative
-0.0535709266344216,180.06338016,139.90682746,46.91369619,27.19815106,4.30299274000001,34.29439679,-0.6997578683931781,-21.309154188613455
-0.037785352298839,179.38130534,137.70580971,46.80648276,26.10723341,1.73854144000003,33.73228614,-0.7381728750255151,-28.65743365313307
0.0122792301265341,178.65819154,135.44374573,46.71904292,24.95239744,-0.958265949999998,33.24193156,-0.7776533393672828,-31.501791499105547
0.100824031159467,177.90217256,133.13957921,46.6706384,23.74762809,-3.75681194999999,32.83241131,-0.8178686316555024,-31.48172719402158
0.230290918994194,177.12128943,130.80017203,46.69375112,22.495212,-6.64200712000002,32.50632139,-0.858698989491298,-29.299440801164955
0.401170716127935,176.28397374,128.3929717,46.77829717,21.19047794,-9.62783543,32.31094329,-0.9007125610048918,-21.350464386663504
0.611935102588774,175.43299175,125.9887249,46.9723339,19.86097583,-12.63974021,32.22524507,-0.9426745836954297,-22.710023514083133
0.859093275052953,174.52667149,123.52403504,47.26010589,18.49015273,-15.71804559,32.27480886,-0.9856915367929476,-16.80754862197098
1.13736600268764,173.59241025,121.04715892,47.68184944,17.09870396,-18.81372971,32.47685482,-1.0289211802509697,-5.452625004062028
1.43996180848666,172.62845607,118.55879822,48.23830942,15.68654057,-21.91959769,32.81469653,-1.0723512674432005,4.436794510175268
1.75893334688913,171.63653195,116.0743517,48.92847991,14.26783362,-24.9944288,33.30498796,-1.115713039306916,13.853278666342561
2.0855872215118,170.63158517,113.61898236,49.75517943,12.84494959,-28.03894819,33.92772649,-1.158567318642436,22.207483881244805
2.41091791765851,169.60397624,111.18091792,50.69683328,11.42647025,-31.02135287,34.6652172,-1.2011195704962279,33.22946150973394
2.72603643074565,168.58251104,108.80640601,51.75662754,10.01183673,-33.94223934,35.52920708,-1.2425626214535468,28.724421135137845
3.02256787682615,167.55364432,106.47787493,52.89331298,8.61129545,-36.77702692,36.45294467,-1.2832031555345664,54.39429616780566
3.29299946576464,166.44059382,104.15840847,53.68227292,7.30441168999999,-39.24349374,37.03747329,-1.323685482151144,60.08287746943388
3.53096401137533,165.51277672,102.0864883,55.14249738,5.86667879000001,-42.115882,38.31995646,-1.3598473109561244,16.036388854614447
