knee_moment,thigh,shank,foot,thigh_,shank_,foot_
4.08552184584787,199.49305803,157.79207712,35.68787139,33.69601294,7.77280580999997,20.94714851
4.33891167051688,198.5448012,155.21015853,35.15529314,32.58016489,5.35470681000001,20.2518027
4.5929172636304,197.53701426,152.53533913,34.74977381,31.4508211,2.96481235000002,19.47199218
4.84575893616202,196.56955031,149.91936695,34.39718337,30.28593182,0.516123099999987,18.71957185
5.09535404678088,195.56118528,147.23801167,34.24592848,29.11140484,-1.89712882000003,17.96305901
5.33935728943681,194.55385973,144.5610664,34.26857605,27.89562713,-4.37727164999998,17.31527324
5.57521934747533,193.54077163,141.88331083,34.50625289,26.63200602,-6.93527308999998,16.82453318
5.80025542344191,192.53305551,139.22558973,34.95161157,25.35736304,-9.47084817999999,16.45754179
6.01171602181326,191.53524561,136.59724941,35.6296942,24.05157777,-12.04042031,16.29025652
6.20685397424253,190.54165818,134.00628058,36.5314233,22.68685643,-14.70962316,16.36679759
6.38298378079687,189.54281975,131.43775255,37.67845926,21.31009989,-17.3525857,16.64200197
6.53753159100291,188.56496813,128.94504384,39.00846628,19.87505929,-20.08937414,17.17585922
6.66807810691661,187.57660077,126.48719781,40.54507006,18.42467119,-22.79736638,17.89666755
6.77240194356731,186.60047835,124.11048814,42.20883053,16.9262749,-25.56038256,18.82353097
6.84852887583607,185.63297244,121.81525031,43.97358862,15.39306221,-28.33782096,19.90545744
6.89478252667905,184.67198842,119.60624349,45.80468715,13.8289011,-31.11623874,21.11750126
6.90982909361272,183.74155292,117.51847125,47.65818731,12.22446795,-33.92589796,22.46782139
6.89271490956016,182.76556752,115.4653444,49.52259206,10.62126416,-36.6346598,23.78464561
6.84289968631262,181.84132675,113.56522425,51.3351754,8.96975894000002,-39.39624923,25.21810981
6.76028745028025,180.90801679,111.75255424,53.10005742,7.31615608999999,-42.07823775,26.61961472
6.64525497666494,179.98673919,110.0516267,54.79502697,5.65536729999999,-44.70102886,28.00222761
6.49867540977736,179.08433905,108.46993423,56.41456464,4.00890570000001,-47.21617646,29.31679066
6.32193304903211,178.20515448,107.01201441,57.94673079,2.33828966999999,-49.73193651,30.69172317
6.11692423486623,177.34268987,105.67832938,59.35104693,0.687905149999978,-52.11399106,31.91257069
5.88603906018565,176.47313972,104.42893077,60.6646323,-0.961832850000008,-54.44410051,33.13404137
5.63211933988967,175.6481457,103.33147171,61.85806846,-2.60180680000002,-56.68421731,34.26324032
5.35838982851368,174.86645361,102.37452425,62.96768695,-4.20396434999998,-58.78469966,35.318479
5.0683618835164,174.08148213,101.51100358,63.94541618,-5.79052288999998,-60.78980567,36.27566107
4.76571134895301,173.32720114,100.7750068,64.80647096,-7.35176285,-62.68499586,37.1416276
4.45413505728229,172.58091551,100.14110994,65.53207098,-8.88730362999999,-64.46754478,37.88498199
4.13719268795015,171.89573242,99.66285274,66.16579978,-10.38822959,-66.13229376,38.57579837
3.81814249880514,171.20313423,99.26681605,66.63943691,-11.86176765,-67.67881954,39.09414306
3.49978045994274,170.56314696,99.01398716,67.00798048,-13.30066189,-69.109551,39.5405287
3.18429246529268,169.95596367,98.88216826,67.25065032,-14.70547402,-70.42256695,39.88332586
2.8731285724142,169.34132253,98.82432906,67.33981356,-16.07637038,-71.60920611,40.04241472
2.56690672034193,168.78401697,98.9096683,67.31265974,-17.41509685,-72.69163108,40.12446869
2.26535127978101,168.25415602,99.10388445,67.15444361,-18.71724932,-73.65322889,40.07735722
1.96726933002669,167.75265853,99.40370594,66.86615752,-19.98886858,-74.51112469,39.91298206
1.67056496230617,167.2514618,99.78034394,66.47689459,-21.20133369,-75.19374586,39.6122567
1.37228940901901,166.82660331,100.30763932,65.91551135,-22.4187026,-75.86063112,39.17916833
1.06872262035071,166.40738145,100.91194712,65.26486127,-23.58361544,-76.37196448,38.63441458
0.755480218960832,166.03141366,101.63344378,64.51705855,-24.71310881,-76.77237689,38.00699636
0.427638641986674,165.67604234,102.43933841,63.66013006,-25.80661362,-77.05872086,37.24605757
0.0798707548222854,165.35522528,103.34904698,62.69997596,-26.85739072,-77.21413332,36.35437567
-0.293415722987885,165.06559241,104.3443273,61.65646083,-27.89027532,-77.31000941,35.40840196
-0.697942790576465,164.80974211,105.44722314,60.52263075,-28.857702,-77.21084046,34.28648434
-1.13942956123645,164.59616155,106.6457731,59.31054633,-29.79598284,-77.02207007,33.07187698
-1.62345619567944,164.41641131,107.93151998,58.02850503,-30.70014358,-76.73106303,31.77085488
-2.15532042595562,164.27862875,109.31239285,56.69354034,-31.5724941,-76.35160484,30.4477633
-2.73988929391244,164.17026041,110.76721901,55.27901829,-32.40306422,-75.8461644,28.94392231
-3.38144875379875,164.10772876,112.3150208,53.81857953,-33.20296923,-75.25766644,27.41462246
-4.08354957074543,164.07792655,113.93286533,52.30666664,-33.97181753,-74.58476358,25.81290667
-4.84884599696519,164.09044349,115.63800977,50.72143437,-34.71966974,-73.8571222,24.19677424
-5.67892374262031,164.12951547,117.3910133,49.11924513,-35.41662137,-72.99043908,22.4015167
-6.57411444378617,164.20421029,119.21582872,47.4545547,-36.0848345,-72.05387949,20.57022206
-7.53329521191722,164.30887774,121.09488365,45.74582888,-36.72652302,-71.05372123,18.69014347
-8.5536739388147,164.43673194,123.0168144,43.99787671,-37.31663605,-69.92250965,16.68401125
-9.63057072094917,164.58733395,124.97539855,42.22715805,-37.90263475,-68.79630556,14.69699849
-10.7572377529897,164.74947995,126.95492808,40.43021601,-38.45845866,-67.60753872,12.66381235
-11.9247869743746,164.91778275,128.94631857,38.61364067,-38.98309321,-66.35396534,10.5860707
-13.1222565202171,165.09081179,130.9420084,36.78829343,-39.47673266,-65.04103288,8.47516
-14.3367806273966,165.25953473,132.92904938,34.95691012,-39.93713713,-63.66642629,6.3198172
-15.5538205365625,165.42945203,134.9042716,33.13698844,-40.36666734,-62.24249226,4.16330869
-16.7574450684544,165.58461436,136.84547489,31.33368854,-40.76394381,-60.76940658,1.98690566
-17.9306627033207,165.71154943,138.72102306,29.5814187,-41.10944947,-59.19935339,-0.227234629999998
-19.0558032529568,165.86907294,140.61942142,27.8180911,-41.43660588,-57.63274817,-2.40905693
-20.1149406295115,165.95321346,142.37229522,26.15093673,-41.71430167,-55.98835964,-4.61731379
-21.0903449763944,166.0600074,144.11793445,24.50404081,-41.96463387,-54.33622874,-6.78076377
-21.9649523877798,166.1487234,145.78395749,22.93310336,-42.17773684,-52.65657507,-8.90942356
-22.7228096202637,166.27324095,147.4306302,21.41614316,-42.36838993,-50.99963563,-10.95110496
-23.3493927698281,166.28688273,148.85956141,20.02398358,-42.49916826,-49.26695169,-13.02267047
-23.8317479349433,166.38553635,150.31345338,18.68269815,-42.6295339,-47.63807079,-14.91185201
-24.1585597673407,166.46390297,151.63232977,17.49750061,-42.71178888,-45.98580227,-16.74740667
-24.3202949550917,166.47434654,152.77681057,16.39102501,-42.74853972,-44.31857597,-18.55985373
-24.3094657589307,166.59297079,153.92938062,15.42259836,-42.7932446,-42.80473118,-20.10723219
-24.1209809335193,166.64242656,154.86869266,14.59294102,-42.80080732,-41.31667868,-21.571485
-23.7525335466228,166.70556455,155.71016437,13.8535623,-42.79246049,-39.91591466,-22.90244638
-23.2049737509918,166.79604847,156.44193209,13.28280679,-42.75433534,-38.57435909,-24.07364685
-22.4826174966061,166.88194655,157.03386465,12.82901416,-42.69876741,-37.32183339,-25.09953793
-21.5934491852046,166.98367368,157.51282092,12.48745211,-42.62331618,-36.15261787,-25.98307605
-20.5491864911072,167.09237626,157.89672282,12.1942037,-42.53773013,-35.08812869,-26.73517317
-19.3651867509669,167.21139762,158.11852784,12.07779192,-42.41239187,-34.0438142,-27.40156131
-18.0601856125161,167.3478531,158.26271054,11.98088888,-42.29601967,-33.15159927,-27.88286877
-16.6558723380456,167.47617175,158.30672497,11.9322127,-42.10638612,-32.1588763,-28.44076767
-15.1763209724456,167.6358492,158.29569301,11.90043051,-41.91116569,-31.2605862,-28.86729236
-13.6473067516012,167.78731871,158.18419958,11.86385066,-41.69226077,-30.38610862,-29.26394779
-12.0955414195005,167.95343224,158.03668178,11.80121264,-41.43523282,-29.48317367,-29.65289955
-10.5478626233846,168.10041925,157.81338782,11.72554357,-41.12872779,-28.5118598,-30.08480269
-9.03041363631521,168.26459908,157.57091338,11.58616502,-40.80081821,-27.53708863,-30.4804398
-7.56785120821395,168.43230872,157.30239913,11.38893016,-40.44910001,-26.54148667,-30.8491837
2.13949982129208,201.65799859,160.85359359,42.24195458,38.91532505,18.73854836,25.95995637
2.32392444926146,200.8828365,158.34974111,42.18258311,37.91889737,16.59957402,24.87504784
2.50914652543511,200.08867554,155.80687501,42.21912081,36.86434672,14.33912328,23.86886024
2.69641840638054,199.2646944,153.21622511,42.38055146,35.75103795,11.95742696,22.98622641
2.88686556403479,198.42263245,150.59703289,42.68968384,34.57925086,9.45383901,22.27425141
3.08135551480463,197.5326747,147.9223137,43.15375484,33.34376262,6.82157757000002,21.74824017
3.28038404051826,196.59971027,145.20500758,43.78724813,32.04465699,4.06269408,21.43138608
3.48398076909446,195.6527207,142.48540157,44.59600143,30.69807127,1.22110168,21.34570669
3.69163647304428,194.66404744,139.74051362,45.57974323,29.29364218,-1.72608625000001,21.49246855
3.90225484885269,193.65340076,137.0004047,46.72225843,27.84302298,-4.74136486999998,21.86220463
4.11413183671598,192.60442064,134.25432931,48.01807957,26.34262784,-7.82992447999999,22.44714342
4.3249655075145,191.52677734,131.52014667,49.45061175,24.80626279,-10.95400254,23.22639406
4.53190241307264,190.42360666,128.81001877,50.98595515,23.23799445,-14.0941743,24.1606497
4.73163078911564,189.30302424,126.14060596,52.58851671,21.63048985,-17.26330823,25.2310509
4.92052208480481,188.16061658,123.51297775,54.24284169,19.99754083,-20.42643501,26.40162158
5.09480358039686,187.0050022,120.94330612,55.91359064,18.34476945,-23.56286071,27.63817219
5.25074158486631,185.84369624,118.44287586,57.5897615,16.67380149,-26.67178271,28.92961278
5.38482413107568,184.67742186,116.01929756,59.24172984,14.99376289,-29.72771185,30.22387053
5.49393595415897,183.51917967,113.68804729,60.85284191,13.30819294,-32.7194107,31.50320804
5.5755174249252,182.3689024,111.45177291,62.43140945,11.62456637,-35.63971239,32.7990842
5.62769838621101,181.24144145,109.3300273,63.93835676,9.93268097999999,-38.50218554,34.06317687
5.64939805106971,180.12690921,107.31412519,65.38685737,8.26876085000001,-41.23299257,35.25606784
5.64038334831886,179.04368691,105.425916,66.75239259,6.61943004999998,-43.86467039,36.39017458
5.60128034532947,177.98047536,103.64733427,68.04330787,4.99339174000002,-46.37390395,37.43623121
