thigh,shank,foot,thigh_,shank_,foot_,knee_moment,shank_new,shank_new_second derivative
145.89591573,25.76231967,-38.48550378,-46.5698352,-2.23538265000001,-31.94054382,0.85064804562133,-2.691955352396994,-8.92078970465171
146.32733521,25.86928915,-38.04952427,-45.89584607,-2.58757923,-30.18185732,0.879612004495319,-2.690088382771848,-6.25024570820365
146.76354469,25.95070245,-37.58616227,-45.15035347,-2.99841954,-28.32008587,0.904068829078605,-2.6886674526319343,-2.4155583740315123
147.24312932,26.04741684,-37.11113665,-44.34539613,-3.43486984,-26.40507825,0.924063331760167,-2.686979468092376,-5.211478097302269
147.72867337,26.1252451,-36.61707079,-43.47632296,-3.91784721,-24.42238437,0.939677129441321,-2.685621108704278,-8.922686877546049
148.23454957,26.19568496,-36.0954734,-42.54735427,-4.4384485,-22.38075327,0.951045613972075,-2.6843917012226344,-8.400534979884355
148.73217666,26.24866452,-35.59437123,-41.5548972,-5.01972465,-20.33254502,0.958351401406,-2.683467033464376,-7.993681277964626
149.25155919,26.29582156,-35.05027418,-40.50712515,-5.63569392,-18.23074946,0.961799771398529,-2.682643987850881,-16.941602125841726
149.76175457,26.32628352,-34.51967584,-39.40252231,-6.30683196999999,-16.13810137,0.9615971349915,-2.6821123263522706,-17.264486292121184
150.20811059,26.29888993,-34.02651404,-38.26372188,-7.01576155,-14.07593208,0.957939872355917,-2.682590434691712,-7.291887876386127
150.70931791,26.3049843,-33.52143714,-37.06120107,-7.78805473,-12.02706685,0.951009756424872,-2.6824840678693773,-10.041692510154299
151.16260523,26.26017886,-32.9896549,-35.82109618,-8.5978252,-9.94985942,0.940972766316867,-2.683266070320182,-10.654118072705998
151.63249795,26.22615042,-32.48136252,-34.53750249,-9.4547179,-7.92490655000001,0.927984303037281,-2.6838599786374995,-13.838956494498511
152.07404361,26.16042419,-31.97879058,-33.21380042,-10.37301785,-5.90837771,0.912201888611892,-2.685007117755922,-15.97593937598063
152.49671045,26.06802516,-31.46895563,-31.85279613,-11.34828176,-3.87368298000001,0.893800353302764,-2.6866197850550715,-9.51791222031595
152.91773553,25.96913413,-30.9740753,-30.46494431,-12.35354948,-1.87098502,0.872982007797281,-2.6883457591292603,-8.348105289153196
153.33117187,25.85536628,-30.47755422,-29.05041713,-13.40271365,0.142136120000004,0.849975839415937,-2.690331382694675,-6.379337241000371
153.74137636,25.73001295,-29.98388549,-27.61405845,-14.48558241,2.15850133000001,0.825031348860904,-2.692519211031514,-6.750830572292976
154.16217929,25.60615649,-29.48854781,-26.1585347,-15.59000825,4.18780076,0.798417472634726,-2.6946809140583787,-9.05270343483977
154.56043249,25.45221236,-29.00276433,-24.69254364,-16.72988289,6.21868488,0.77042565506053,-2.697367745990997,-4.214806082618594
154.97717617,25.30507853,-28.5099023,-23.2108158,-17.87908954,8.27629099,0.741369024167147,-2.6999357157655663,-1.0542102841348822
155.3956643,25.15026271,-28.02159323,-21.71982341,-19.04101476,10.34147736,0.711572853054325,-2.7026377615587416,-2.867209441879126
155.82597769,24.99796039,-27.51961176,-20.21785785,-20.20442888,12.44280043,0.681356428326713,-2.7052959385011675,-3.7684555797135033
156.25221445,24.83188516,-27.03984828,-18.7121371,-21.37124169,14.52054516,0.6510112116269,-2.7081944980706742,-1.6633703356472296
156.68977284,24.66925059,-26.54752802,-17.19757377,-22.52842851,16.62661885,0.6207831555936,-2.71103300679474,-0.623099996248655
157.13189742,24.5039772,-26.05411068,-15.67666546,-23.67267537,18.73966428,0.590862626996513,-2.7139175716161716,-1.3864214899550475
157.5807077,24.33697069,-25.56855964,-14.15077397,-24.80006824,20.8334084,0.561377895391628,-2.7168323850879372,-0.9774384863225904
158.03268426,24.16812563,-25.0778972,-12.62077304,-25.90233453,22.92178973,0.532395421865437,-2.7197792873106645,-0.6642094814468535
158.48798177,23.99909048,-24.58746717,-11.08757991,-26.97427884,24.99028414,0.503940359039285,-2.722729507229767,-0.43203182172657506
