knee_moment,thigh,shank,foot,thigh_,shank_,foot_,shank_new,shank_new_second derivative
13.1044728830597,200.27383197,169.10201674,40.72360976,33.1553297,25.1162448,15.27506132,-0.19020568971422505,-81.37989987439144
11.8459636775006,200.33821753,168.42365916,40.03670629,32.95946455,24.39380718,13.76551777,-0.20204526299108608,-94.78236174027347
10.6904198283432,200.25749162,167.51216534,39.42381909,32.66165116,23.44746232,12.39394582,-0.21795383126166668,-110.43388455086757
9.66926103346225,200.17666051,166.52388107,38.84842067,32.21893393,22.16712824,11.19019919,-0.23520264571883548,-131.60185382028038
8.80154615744888,199.94167627,165.28957439,38.38829423,31.67655411,20.68216912,10.14207539,-0.25674536126419506,-129.95203596628366
8.09377597031593,199.60443801,163.8700799,38.03525945,31.01544437,18.94518674,9.29296323000001,-0.2815202138286129,-103.05576868278985
7.53974374460839,199.20599406,162.32241312,37.77729679,30.25747811,17.00780038,8.58630896,-0.3085320948633518,-93.33625522589877
7.12096353189995,198.7241528,160.62581267,37.64282837,29.40520876,14.87197518,8.06694959,-0.33814335880666935,-93.93223455090478
6.81003043889321,198.19059186,158.8204745,37.62144038,28.47441917,12.58370096,7.71821854,-0.36965245398509844,-86.75400949672172
6.5766898187189,197.53577375,156.84335338,37.74207602,27.4701839,10.16526259,7.51852844,-0.40415972723981625,-62.87025031533941
6.3942377701029,196.86908802,154.82147202,37.98117011,26.40144687,7.61353842,7.51314451,-0.43944821405651724,-50.82725507443095
6.24475559352908,196.1326929,152.70067409,38.34660125,25.29386748,5.01866565,7.59830637000001,-0.4764631207044971,-37.796935802322814
6.12195975970415,195.36235534,150.53125082,38.8288452,24.13789909,2.33462510999999,7.85367243,-0.5143266996353791,-30.305535848477216
6.03012213533444,194.58558338,148.34143431,39.45325186,22.93268212,-0.449407719999982,8.33484357,-0.5525462077494102,-31.617700560066453
5.97830150309485,193.7232851,146.06739169,40.18700488,21.71466217,-3.20549186000002,8.8456187,-0.5922357387990888,-12.730127876757713
5.97301567270945,192.86310824,143.80103845,41.04925894,20.46082852,-6.02772902000001,9.56152385,-0.63179106485033,0.8289720535048062
6.01467535833295,191.98439556,141.5305943,42.03240988,19.18071421,-8.88174395000001,10.43200244,-0.6714177907504741,9.823224411696874
