thigh,shank,foot,thigh_,shank_,foot_,knee_moment,shank_new,shank_new_second derivative
125.0970814,-6.77903079,-32.67925005,-34.89299315,-8.06172285,-8.36113451,0.238477223868479,-3.259909060969366,29.65050156287674
125.90723747,-6.8348959,-31.88603399,-33.73347624,-8.54047565,-5.71715494,0.23950906516528,-3.260884091075854,43.61136232431395
126.73632384,-6.80581858,-31.16707393,-32.52211602,-9.07794456,-3.20242103,0.238902561751528,-3.260376596104198,15.707261645578896
127.57002252,-6.69675142,-30.53424492,-31.29068475,-9.67709795,-0.823239839999999,0.236857869026453,-3.2584730150563983,-6.293350104749074
128.49450418,-6.74261039,-29.63014423,-29.895971,-10.35458078,1.80416945,0.233573599341875,-3.259273405074472,29.25639400049196
129.36548232,-6.59466518,-29.01143765,-28.56711083,-11.05340653,4.08313644,0.229221879715649,-3.2566912740474177,-15.76697284995543
130.3028912,-6.51177541000001,-28.22675837,-27.10911487,-11.85539674,6.53612978,0.223926596039627,-3.255244574644697,-42.67669662198603
131.31040088,-6.58291704,-27.25626491,-25.50978851,-12.74933562,8.89793784,0.217771466778066,-3.2564862303234325,20.814719864805653
132.25365647,-6.52545989,-26.43201131,-23.98186241,-13.65321006,11.19565996,0.210820418469236,-3.2554834138771205,24.454431232237006
133.23113769,-6.45190934,-25.62103037,-22.3943618,-14.62967941,13.46860985,0.203124758996224,-3.254199714612967,-5.9018081763495545
134.21745632,-6.39903080000001,-24.79270042,-20.77030251,-15.65385663,15.70273789,0.194721472824295,-3.2532768099863203,-6.857752932916128
135.20888368,-6.35471651,-23.96293297,-19.11900789,-16.73045183,17.92784823,0.185639943417324,-3.252503379720136,6.854632284221118
136.19847947,-6.31189374,-23.12914521,-17.44460429,-17.84506002,20.12573686,0.175916625150857,-3.2517559813888117,6.3277610162693065
137.16198432,-6.21824953,-22.39809135,-15.79325693,-18.97901993,22.2802645,0.165597029624675,-3.2501215815988833,-18.539046139638415
138.14659307,-6.18850128,-21.57723954,-14.0859195,-20.17668996,24.44589085,0.154722525234427,-3.249602376689676,-21.24342508897037
139.13707333,-6.18800346,-20.72674814,-12.35295989,-21.39148406,26.59089378,0.143332396930332,-3.2495936880915943,-5.712562125554932
140.11710871,-6.18682468,-19.8997437,-10.6191833,-22.62442008,28.72868383,0.131487211803729,-3.2495731144994378,-1.5782820439502743
141.08833437,-6.19048796,-19.08100648,-8.88082764000001,-23.87112745,30.84768807,0.119272058560839,-3.249637050796861,-1.1536800888523047
142.05621971,-6.19419097,-18.27175879,-7.13336544000001,-25.12520064,32.95683851,0.106771729481161,-3.2497016805135943,-0.051310934683357345
143.00415696,-6.19958256,-17.4837446,-5.39693650000001,-26.38137684,35.03667064,0.0940619346172165,-3.2497957815110126,0.49035723467039105
143.93988194,-6.20185125,-16.71229318,-3.66474349000001,-27.630063,37.08512234,0.081223659721349,-3.249835377621219,1.4545661252629571
144.86087041,-6.20586762,-15.95322234,-1.93577010999999,-28.87084271,39.11200688,0.0683455821571519,-3.2499054765016973,6.536413383013695
145.76418672,-6.20117748,-15.21716218,-0.218657519999994,-30.08729994,41.10154766,0.0555079237611236,-3.249823618116318,1.89184440670509
146.65518307,-6.17470179,-14.51946942,1.48679146999999,-31.27373163,43.0390981,0.0427756623865105,-3.2493615301540806,-4.698138367040805
147.5084889,-6.18966424,-13.78908456,3.16939178000001,-32.43433245,44.99343875,0.0302095005736363,-3.249622674170746,4.553670483540273
148.34233778,-6.17045431,-13.11463993,4.83491466000001,-33.54833535,46.8450403,0.0178695735428634,-3.249287397643168,6.011247301755951
149.16421602,-6.15206039,-12.4459849,6.49118813999999,-34.63138664,48.66762214,0.0058055761846044,-3.24896636317682,1.453709168601769
149.96001819,-6.13176492,-11.79243141,8.12359656000001,-35.6576491,50.4557587,-0.0059473924210843,-3.24861214040208,4.012201281731187
150.733681,-6.1061274,-11.1589302,9.73652783999998,-36.63116991,52.18172671,-0.0173668091214839,-3.248164681266034,5.51267131164046
151.49210006,-6.07008731,-10.5507659,11.3336292,-37.54818219,53.83324513,-0.0284443046439168,-3.2475356630328185,1.9871707997909382
152.23192729,-6.02860913,-9.95991536,12.90736278,-38.40298179,55.43399358,-0.0391823936265389,-3.2468117322240837,-1.942280931439555
152.95064626,-5.99702405,-9.36765922,14.46555962,-39.19868322,56.99223995,-0.0495807349967156,-3.246260468583578,-1.6306523934916939
153.64595052,-5.96221931,-8.79416888,15.99804459,-39.92759823,58.48919972,-0.0596249323597763,-3.2456530112752775,2.1054378005658236
154.31800776,-5.93330374,-8.22585128,17.50608912,-40.58811731,59.92848422,-0.0692855681534841,-3.245148339373687,4.849858093591841
154.97780587,-5.88376622,-7.70444771,18.99333165,-41.17383895,61.24544141,-0.0785229793345845,-3.2442837465464147,1.1444385704839632
155.61463545,-5.84179579,-7.17990131,20.45510764,-41.68724708,62.53444158,-0.0872952719832986,-3.2435512243544364,-0.46167449373246683
156.23184509,-5.79875598,-6.67734782,21.89182454,-42.13051852,63.72832411,-0.0955701759208283,-3.2428000379605035,1.131879181164308
156.83232817,-5.75293304,-6.19592218,23.30558659,-42.50228801,64.83090409,-0.103337297751533,-3.2420002767845593,0.15465362500410862
157.41671587,-5.70726055,-5.72996296,24.69521344,-42.80229397,65.84486963,-0.110612409862153,-3.241203141456476,0.3255126321510815
157.98764135,-5.66318419,-5.27589957,26.06181269,-43.03546289,66.77059134,-0.117431911211501,-3.2404338638521817,20.547927090022178
158.55081911,-5.61390007,-4.84480145,27.40835242,-43.19726927,67.57892954,-0.123843483147443,-3.239573693689233,17.05128036135317
159.24927655,-5.45570439,-4.53720013,28.77718412,-43.35887272,67.98345626,-0.129896358356789,-3.236812658210802,-21.47744581639799
159.7565215,-5.42284295,-4.04147526,30.0829065,-43.34145145,68.91370831,-0.135638671155413,-3.236239117885855,0.638430968402659
160.25439319,-5.37128129,-3.63037723,31.35148489,-43.25649236,69.58222302,-0.141127587571033,-3.235339197151062,21.518438364540593
160.85920536,-5.22812789,-3.36786244,32.61278668,-43.16710431,69.70537331,-0.146432758554018,-3.232840698985637,-12.003358813590381
161.34176403,-5.16356662,-2.90742757,33.84849526,-42.92161407,70.40934828,-0.151615042533058,-3.231713892254868,-11.13847661073919
161.8254868,-5.10218701,-2.51169754,35.0574589,-42.62531864,70.83240096,-0.156701782697162,-3.2306426159667776,33.5964239662756
162.31451275,-5.01967072,-2.13858407,36.24066098,-42.26824034,71.13987079,-0.16168911491273,-3.2292024350197477,36.58372427801204
162.87391475,-4.7837528,-1.98733027,37.37188582,-41.83187782,70.94456513,-0.166565235284321,-3.2250848905512908,3.873899646467116
163.32878569,-4.66616552,-1.56572965,38.49447748,-41.31725202,71.38035931,-0.171324263849843,-3.2230326053568263,36.432418194491945
163.87377948,-4.44312278,-1.38907043,39.57891335,-40.75353502,71.12887249,-0.175963383194154,-3.2191397751711572,-13.962347781952822
164.24319193,-4.10391794,-1.34153721,40.5257954,-39.99509846,71.23544737,-0.180481197196877,-3.213219533874456,-52.618657528031854
164.70045397,-4.18249112,-0.67719466,41.64814704,-39.35843105,71.4963435,-0.184883347785225,-3.214590894569219,68.39031658703476
165.29966422,-3.84315306,-0.600444710000001,42.60975526,-38.61690119,70.82422627,-0.189184519503596,-3.2086683281448884,32.837024227423406
