knee_moment,thigh,shank,foot,thigh_,shank_,foot_
8.36709092244859,198.715904,167.58779393,38.34613287,30.63569385,20.49494895,13.09277672
7.62207393975186,198.28040252,166.08866207,38.4189302,29.89940248,18.63550678,12.94181049
6.91153722673556,197.78102653,164.46652542,38.55743,29.10472146,16.63169472,12.88587123
6.23398770003206,197.22802572,162.74343142,38.74761266,28.26189215,14.50926434,12.89657627
5.58462099800235,196.69871156,161.0445957,38.8870226,27.40962732,12.38075465,12.89320499
4.95811531785121,196.09776899,159.22180136,39.11873158,26.50268206,10.12081733,13.00316706
4.35050366638396,195.44473168,157.30885794,39.41919721,25.56452339,7.79026610999998,13.17342474
3.75940802084139,194.80756503,155.41713267,39.71663178,24.60049706,5.40895828000001,13.40672593
3.18376209882382,194.15861805,153.49852181,40.05733835,23.61668682,2.98899686000001,13.69056606
2.62388572368575,193.46837602,151.51477829,40.48308459,22.60556103,0.513990409999963,14.06613107
2.08235386040902,192.77393556,149.52191134,40.9537765,21.58191946,-1.97889308999999,14.49145433
1.56539631149418,192.05509742,147.49484941,41.50277982,20.53854712,-4.5056136,14.99552154
1.08423628611247,191.34848256,145.48734666,42.1033659,19.48171373,-7.05376662999998,15.58418921
0.654997252166683,190.60995429,143.44856223,42.77025061,18.41684657,-9.60274035,16.22967861
0.29491727308212,189.89303202,141.43786332,43.52553004,17.33887532,-12.17173292,16.98046383
0.0165368587256734,189.20819537,139.47136394,44.35879875,16.24912134,-14.76298598,17.86077402
-0.175187833916767,188.44578023,137.4251378,45.28400492,15.16568535,-17.2975163,18.74036071
-0.282054733353833,187.72059454,135.43860668,46.28410626,14.07527645,-19.84148936,19.74571531
-0.31077331106148,186.99211044,133.46575583,47.36965621,12.98286108,-22.37004843,20.84118684
-0.271372067499461,186.26210365,131.51172146,48.53939415,11.89140701,-24.87278782,22.02249613
-0.175862671292178,185.55321409,129.60757059,49.78879507,10.79669662,-27.36710835,23.32439318
-0.0371543147063388,184.81993773,127.7036412,51.10256276,9.70934062999999,-29.80769182,24.65299982
0.131797572236629,184.08738718,125.83528091,52.47183145,8.62881189000001,-32.20256824,26.03175408
0.318630420373986,183.36563128,124.0176578,53.88421593,7.55818608999999,-34.54305254,27.45584582
0.512027796007795,182.65081577,122.24956111,55.32466042,6.49206609000001,-36.84091739,28.91465645
