knee_moment,thigh,shank,foot,thigh_,shank_,foot_
-0.108085268983409,196.39390636,167.89707131,32.88041431,23.10770842,3.85794172000001,20.65937905
0.109168349388156,196.02017067,166.41778354,33.41370939,22.31681304,1.93746173999997,20.92940981
0.333334464487839,195.05808856,164.11170416,34.1859957,21.36239184,-0.388643840000015,21.45891459
0.560579057685545,194.73481539,162.68162759,34.97706398,20.60937465,-2.19795672999999,22.00689229
0.786965471069837,194.32011416,161.10692312,35.7795892,19.77352682,-4.19011024,22.50712134
1.00858976303846,193.35741811,158.76072388,36.8628731,18.82548687,-6.45483738000001,23.07776334
1.2217145771927,192.9739264,157.25525058,37.88806736,18.00027288,-8.37736311,23.96599006
1.42289554977439,192.26438615,155.27583253,39.07079249,17.00231869,-10.72782382,24.66033288
1.60909415311987,191.8548074,153.73442931,40.19702632,16.21665677,-12.49557015,25.58889681
1.77777138920226,191.32016463,152.00320764,41.46190211,15.30003854,-14.57437524,26.55944815
1.92695558347146,190.41778769,149.77746666,43.16778616,14.26806165,-16.97067214,27.65808583
2.05527324709938,190.01305424,148.34724048,44.26758669,13.4845209,-18.63732717,28.64891123
2.16193411266257,189.48305232,146.69398007,45.59542951,12.54213016,-20.63195232,29.77481338
2.24667620958323,188.44643336,144.33419174,47.77584319,11.47317697,-23.04971814,31.25029718
2.30968820707763,187.96578502,142.86438075,48.91527731,10.60816473,-24.77906857,32.30615655
2.35152293986403,187.01754847,140.74323711,50.91642508,9.54908282,-27.05267271,33.84453868
2.37300916959866,186.51543666,139.32211718,52.00959821,8.66717257000002,-28.71362662,34.83122894
2.3751664354661,185.58961178,137.34787933,53.96158083,7.61824358000001,-30.88064208,36.34299264
2.35912744616128,185.06488397,135.98321592,54.98500333,6.71737203000001,-32.47463333,37.2623654
2.32607172891677,184.1486662,134.16035778,56.80268967,5.67755198,-34.51372412,38.70640132
2.27717324926896,183.61461738,132.86597659,57.73029134,4.76939644000001,-36.05485194,39.542583
2.21356352122564,182.47599325,130.83973196,59.40590381,3.78520603999999,-37.81784402,40.84725402
2.13631043273689,181.93045323,129.7113076,60.15999498,2.83845556,-39.35520279,41.56302919
2.04641173350765,181.17344583,128.37544146,61.42834907,1.79835222999998,-41.19142701,42.62005183
1.94480101107666,180.41521281,127.01920586,62.49503738,0.851156610000004,-42.67164726,43.46169289
1.83236315147372,179.89061197,126.03050448,63.08657705,-0.0562179099999867,-43.98564825,43.99250161
1.70995582900314,179.08225404,124.75640821,64.08771553,-1.03224800999999,-45.4897057,44.78354679
