knee_moment,thigh,shank,foot,thigh_,shank_,foot_,shank_new,shank_new_second derivative
14.3690544312531,213.67907571,195.49433055,28.04461337,61.56261729,73.430419,-0.426119549999999,0.2704270834898439,-57.32945825878808
14.663136214414,213.38263637,194.08028353,27.63440399,61.0968664,72.35478435,-1.11406316,0.24574730721282984,-87.18377239041706
14.9188440140641,213.0181331,192.50199971,27.31780017,60.53947028,71.06703604,-1.79467211,0.21820105802287637,-117.15108437380523
15.1454012939166,212.58328477,190.75266327,27.12015084,59.88524367,69.55064876,-2.43251863,0.18766937741976,-110.42378956647667
15.3451881578978,212.07593734,188.8384426,27.04762903,59.13376158,67.81025105,-3.02232867,0.15425992411852832,-114.88798050992787
15.5114619029682,211.50123836,186.7923613,27.05776133,58.3004565,65.89184825,-3.58762905,0.1185490686700425,-121.48579457603627
15.6281631458466,210.83956343,184.51662585,27.3713392,57.33361272,63.64028106,-3.89332258,0.07882999216318748,-109.85066532802587
15.6731513874504,210.10913943,182.135997,27.75460144,56.29811226,61.25022344,-4.16013421,0.03728018046272137,-99.05986179495282
15.6244498927077,209.30945086,179.56541115,28.45391241,55.15122538,58.59252209,-4.15353710999999,-0.007585006324955959,-85.30613845447145
15.4677492730126,208.43581918,176.9120615,29.20724462,53.94591293,55.82127779,-4.08707648,-0.053894693924095044,-76.86479069534914
15.202814520909,207.50384314,174.12542828,30.21875356,52.65045242,52.84595556,-3.77118092,-0.10253061865854653,-65.41036585677861
14.8455658772339,206.51287259,171.24772319,31.40334524,51.27904049,49.71004033,-3.25771123,-0.15275604738044637,-43.21295601597246
14.4247489371774,205.47728638,168.31067162,32.74879378,49.85377386,46.47352098,-2.56696581,-0.20401726757781496,-25.91200630512276
13.9751939270737,204.40135303,165.33579288,34.23056283,48.38152749,43.1590558,-1.71979177999999,-0.25593869643839495,-9.585039328680445
13.5298224262818,203.2961278,162.3474501,35.8358813,46.86740074,39.78070956,-0.707570840000002,-0.3080951171275957,6.225165326853421
13.1132575319827,202.16778212,159.36894434,37.53284254,45.31959825,36.36512387,0.440619499999997,-0.36007984942921156,19.72621560619281
12.7397663255436,201.02223015,156.41989615,39.30495481,43.74469237,32.93257182,1.71405873,-0.41155045014469105,32.168151226203534
12.4146064363511,199.86872251,153.51511869,41.13465511,42.14649268,29.49918823,3.09388011999999,-0.4622483808594089,45.25497553284907
12.1361284333515,198.70822588,150.67665213,42.99446364,40.53577096,26.09346939,4.55720766,-0.5117889680391661,53.673218623334584
11.8976376310616,197.54864502,147.92058495,44.85599966,38.9165576,22.73079475,6.07983827,-0.5598914147363213,58.11304826108046
11.6890217684148,196.39155039,145.240933,46.71927211,37.26913226,19.36956252,7.67788463,-0.6066601640713076,66.52081064940649
11.4981450857276,195.24109276,142.65901445,48.55962697,35.64185203,16.13377042,9.25251539999999,-0.6517231437871257,74.03081581308193
11.3120163986688,194.10160142,140.18635004,50.34737764,34.00240704,12.94209218,10.84746915,-0.6948792790385085,78.24096884791345
11.1177430221474,192.97540508,137.82160928,52.08533979,32.35886007,9.81819385,12.44189869,-0.7361517912566219,83.24091303987035
10.9032848744221,191.86782548,135.58005481,53.73798862,30.72128614,6.78895457999997,13.97560065,-0.7752742971209181,76.53428118555965
10.658024552088,190.79137587,133.46113941,55.34187538,29.06433353,3.77871175999999,15.5759993,-0.812256347422131,71.07405527261301
10.3731700963409,189.69291411,131.41226871,56.88812813,27.42949514,0.925461780000006,17.06515099,-0.8480158870847717,82.5175211888074
10.0420078249892,188.62669702,129.50789388,58.33094061,25.79491455,-1.85256626000003,18.49416679,-0.8812534980603789,83.76847196753356
9.6600230728334,187.58270415,127.71727318,59.68346201,24.16139794,-4.55062234000002,19.86146907,-0.9125057249297446,71.80286288033794
9.22490727260501,186.55402725,126.03460634,60.96555572,22.53013441,-7.16850581000003,21.20754989,-0.9418738015018734,66.69824431182806
8.736470256686,185.52565873,124.43367775,62.17004029,20.89016722,-9.73852849000001,22.53237644,-0.9698152764866836,71.05828273215708
