thigh,shank,foot,thigh_,shank_,foot_,knee_moment,shank_new,shank_new_second derivative,T_physics,knee_moment_minus_T_physics
136.64918223,31.36268259,-46.8612789,-52.35267096,8.44431272,-41.75321762,0.947875061530339,-2.5942105801363904,2.5029452643643424,-2.863329654422814,3.811204715953153
137.0238298,31.33050842,-46.38474662,-51.76397376,8.05045822,-39.98706197,0.994549932492819,-2.594772125336987,3.3330011673271542,-2.8974430464346925,3.8919929789275116
137.4304603,31.30550466,-45.88082768,-51.1279998,7.63332177,-38.12324616,1.03821832583152,-2.595208523274365,5.309942592375272,-2.930270667499019,3.968488993330539
137.86966663,31.28525677,-45.35093033,-50.44288577,7.19561030000001,-36.17110314,1.07882654198789,-2.595561915621447,6.521248217157272,-2.9618125176157926,4.0406390596036825
138.33914148,31.27875046,-44.82530588,-49.71932038,6.73855195000001,-34.16336587,1.11632594547432,-2.5956754721531023,6.078802015787588,-2.9920685967850136,4.108394542259333
138.83954574,31.27736912,-44.26629402,-48.95201909,6.26179078999999,-32.08076107,1.15068319100902,-2.595699581084192,6.664330309225086,-3.021038905006682,4.171722096015702
139.37108739,31.28682523,-43.71077282,-48.14692829,5.77104322,-29.96950065,1.18188282859448,-2.595534540830261,7.706667118454469,-3.0487234422807976,4.230606270875278
139.93377063,31.30766527,-43.13596136,-47.30472275,5.26108802,-27.82195749,1.20993004506012,-2.5951708135160136,7.680068300661702,-3.075122208607361,4.285052253667481
140.52624795,31.33905595,-42.55191004,-46.42679826,4.73114336,-25.66076562,1.23485327029445,-2.594622942795574,7.306016316697139,-3.100235203986372,4.335088474280822
141.14917245,31.38196497,-41.94218665,-45.51278099,4.17976362,-23.48708978,1.25669945442203,-2.593874039117769,6.066090782841371,-3.12406242841783,4.38076188283986
141.79621438,31.43314706,-41.35994883,-44.56694511,3.59765876,-21.3544188,1.27552278195393,-2.592980743129217,6.388379791841814,-3.1466038819017355,4.422126663855666
142.4626984,31.49102081,-40.75579475,-43.58956906,3.00348466,-19.24138824,1.29137497589621,-2.591970655641241,6.051901256012293,-3.1678595644380887,4.459234540334299
