knee_moment,thigh,shank,foot,thigh_,shank_,foot_,shank_new,shank_new_second derivative,T_physics,knee_moment_minus_T_physics
8.26259268012594,205.62079997,182.43439475,19.17985514,40.84527615,33.57012137,5.36828553,0.0424882036807641,-36.53612565863753,1.3030340327635632,6.9595586473623765
8.76042623306837,204.82832695,180.0415195,18.97841455,39.96407494,31.61584893,4.4345074,0.0007246519787816,-58.634892980780506,1.3640854873939854,7.396340745674385
9.23492477917901,203.99805901,177.54397596,18.8261909,38.96736827,29.39406751,3.65154159,-0.0428657060061327,-81.95852364532286,1.4218086084349901,7.813116170744021
9.6797711775038,203.09128686,174.91981581,18.74648812,37.90788957,27.0456524,2.8452874,-0.0886659407232613,-78.50513839283674,1.476203395886577,8.203567781617224
10.0887694205109,202.12034704,172.18396942,18.78199181,36.78216657,24.55996213,2.09689238,-0.1364154680575618,-70.54838130053244,1.5272698497487467,8.561499570762154
10.4562012044354,201.09339677,169.34831081,18.96936901,35.5690093,21.87749372,1.53993469,-0.1859070472645881,-61.97690877369144,1.5750079700214985,8.881193234413901
10.7771464257867,200.00781001,166.41975043,19.33914175,34.28262988,19.03579397,1.17995905,-0.2370200682390442,-54.01234133298001,1.619417756704833,9.157728669081868
11.047747999263,198.87631523,163.42170428,19.91680653,32.9292795,16.05252674,1.05138445,-0.2893458446832839,-45.431170011499766,1.6604992097987497,9.387248789464252
11.2654098300729,197.68974862,160.34606352,20.73791162,31.51663434,12.94981938,1.18547958,-0.3430259025538246,-32.35743043825554,1.698252329303249,9.56715750076965
11.4289233681039,196.46885509,157.23479632,21.79194323,30.04535996,9.73220755000003,1.59707102,-0.3973277591031298,-20.44160512263193,1.7326771152183307,9.696246252885569
11.5385088778759,195.20687906,154.08698219,23.09311779,28.52427453,6.42831685000002,2.29066709,-0.4522674799124306,-5.687811611419491,1.763773567543995,9.774735310331906
11.5957319335257,193.91702155,150.93076659,24.62954172,26.9647484,3.07529087,3.23989213,-0.5073538340352388,11.675568526772118,1.7915416862802414,9.804190247245458
11.6032701355688,192.6108514,147.7953121,26.36826817,25.36272693,-0.33297312000002,4.44721362,-0.5620778384321785,25.114718958862348,1.8159814714270706,9.78728866414173
11.5645791103761,191.28977737,144.69363294,28.28112476,23.72597596,-3.76701296000002,5.87452888,-0.6162123521146706,39.837407212152165,1.837092922984482,9.727486187391618
11.4835478018097,189.96221476,141.64753875,30.33041564,22.06024814,-7.20451081000002,7.48412073,-0.6693767250560402,51.29652524107691,1.8548760409524756,9.628671760857223
11.3642012855188,188.64249687,138.68475082,32.47270773,20.36194006,-10.65108616,9.26948573,-0.7210871294728872,58.76868119458756,1.869330825331052,9.494870460187748
11.2104703637715,187.31251003,135.79367284,34.67980096,18.66501352,-14.00168969,11.07992013,-0.7715459591557942,70.29786721167159,1.8804572761202107,9.33001308765129
11.0260327470869,185.99795178,133.01258844,36.90205538,16.94493293,-17.32576504,12.9821066,-0.8200850387116451,80.59511432156548,1.888255393319952,9.137777353766948
10.8142247946621,184.69486595,130.34258404,39.10549376,15.21442447,-20.58396342,14.90479579,-0.866685406534381,82.38002938632522,1.8927251769302758,8.921499617731826
10.5780176132891,183.41825821,127.80220205,41.2661755,13.46632348,-23.7991978,16.86794158,-0.9110234365182464,84.07698683809528,1.8938666269511817,8.684150986337919
10.3200470606863,182.13311397,125.36349804,43.36108902,11.74480758,-26.84037606,18.68850488,-0.9535868509743352,90.07402017842558,1.8916797433826702,8.428367317303628
