knee_moment,thigh,shank,foot,thigh_,shank_,foot_,shank_new,shank_new_second derivative,T_physics,knee_moment_minus_T_physics
9.20712955728561,202.22594458,180.83692471,29.35497521,34.86069396,28.06815291,13.98398261,0.0146070917807988,-88.86340046804317,-1.6910938027155389,10.898223360001149
8.75335838805919,201.66363943,178.87415786,29.72678468,33.98893064,25.93908915,13.99484435,-0.019649652200699,-27.59968733192162,-1.4343411500767205,10.187699538135911
8.25936143233257,200.88036844,176.65681612,30.14053359,33.07962806,23.73498882,14.22452228,-0.0583495662055989,-26.85129189399671,-1.1846537706480351,9.444015202980605
7.74153647798792,200.46156372,174.7904896,30.76458862,32.16257981,21.52769335,14.49789016,-0.0909231088968867,-97.85996713282756,-0.9420316644294825,8.683568142417403
7.21768733047091,199.51801133,172.32286096,31.13148244,31.01916938,18.78332805,14.66044989,-0.1339913533813964,-33.79263911678274,-0.7064748314210629,7.924162161891973
6.70581949729983,198.83628201,170.14612503,31.73505321,29.84406605,15.98003768,15.01875914,-0.1719825623063573,-2.1997711013147736,-0.4779832716227761,7.183802768922606
6.2228500084612,198.02292202,167.79528824,32.39628056,28.66570853,13.20900443,15.47406775,-0.2130124044688721,-26.76150866660985,-0.25655698503462254,6.4794069934958225
5.78264701661904,197.22352103,165.4891567,33.18668458,27.43969108,10.32505407,16.13084132,-0.2532619928259593,-57.58097591196112,-0.042195971656601605,5.824842988275642
5.39393929454018,196.37469627,163.11438337,34.09274277,26.17415297,7.38752754000001,16.92351443,-0.2947096064230088,18.599858646766165,0.16509976851128627,5.228839526028894
5.0597930127971,195.35617954,160.50227368,35.22368239,24.90568035,4.46650681000003,18.01975362,-0.3402995209367574,149.83066594006118,0.3653302354690413,4.694462777328059
4.77870390032696,194.76082617,158.54004784,36.31523305,23.69037189,1.72805324999999,19.08748942,-0.3745468225124689,34.34547041201936,0.5584954292166633,4.220208471110297
4.54602909114967,194.02558617,156.37385714,37.44531033,22.36107838,-1.26008003000001,20.14257772,-0.4123539824535495,-139.5529403378548,0.7445953497541526,3.8014337413955173
4.35519011448567,193.22564402,154.16249736,38.65270798,21.0017166,-4.27688523,21.29209658,-0.4509494915607271,-43.13826988662663,0.923629997081509,3.4315601174041612
4.19865086044649,192.00354452,151.44586115,40.0571082,19.45649695,-7.73594737000002,22.64241557,-0.498363738004127,22.357569979607383,1.0955993711987322,3.1030514892477576
4.06867499802328,191.36053908,149.5377828,41.35124322,18.25313682,-10.25476709,23.97253403,-0.5316659875976479,-7.339256112293668,1.2605034721058228,2.808171525917457
3.95786864980139,190.01874249,146.6459646,43.13779182,16.732703,-13.56476498,25.73801038,-0.5821377365567437,194.2362246325464,1.41834229980278,2.53952634999861
3.85953338924258,189.36309237,144.8710174,44.32045917,15.46186343,-16.15719316,26.99338279,-0.6131164092457981,73.00448716375243,1.5691158542896044,2.2904175349529754
3.76787583330733,188.61091005,142.95895964,45.62316714,14.10586293,-18.92907306,28.31346573,-0.6464881126461058,-58.547595102247385,1.7128241355662963,2.0550516977410336
3.67811579871655,187.51169214,140.6225369,47.27726595,12.58434075,-22.09258046,29.87406258,-0.6872663821775731,73.52621320106279,1.8494671436328551,1.8286486550836947
3.58651846086355,186.85180101,138.93650167,48.45593747,11.36304047,-24.40935901,31.05854241,-0.7166932482456927,52.30519813968933,1.979044878489281,1.607473582374269
3.49036815743874,185.81927236,136.79533057,50.03651499,9.89302784,-27.34941494,32.59409903,-0.7540637337892417,68.88852605799416,2.1015573401355736,1.3888108173031664
3.38789914795344,185.15026086,135.21373041,51.12517348,8.67063523000002,-29.56129993,33.67571983,-0.7816678640313106,64.61409254680976,2.2170045285717337,1.1708946193817065
3.27819638593911,184.2229429,133.36282642,52.51790217,7.24932294999999,-32.29211111,35.04856325,-0.813972232795111,38.72289056637052,2.325386443797761,0.9528099421413487
3.16107726185179,183.54815948,131.86117063,53.54634768,6.03729716000001,-34.37621244,36.03652452,-0.8401810705622476,46.18272100471161,2.4267030858136547,0.7343741760381355
3.03696337792512,182.63473849,130.15218809,54.84729895,4.65703489999999,-36.89823043,37.28827957,-0.8700084427443432,56.36743452041575,2.5209544546194165,0.5160089233057037
2.90674972319363,181.96082968,128.77321835,55.7538437,3.45727631999998,-38.86267696,38.15839158,-0.8940760049927133,37.64418284085807,2.6081405502150448,0.29860917297858514
2.77167709586936,181.10058509,127.26451137,56.87574119,2.12563053000002,-41.17766471,39.2465655,-0.9204079092415338,56.70813500771698,2.6882613726005395,0.08341572326882041
2.63321223294999,180.32156207,125.90095135,57.80038828,0.877653909999992,-43.19442879,40.11778066,-0.9442065211390932,80.78144392717812,2.7613169217759017,-0.12810468882591186
2.49293883243175,179.64703083,124.70174833,58.53145752,-0.308887729999981,-44.97874556,40.81062723,-0.9651365622379529,45.48933485414519,2.827307197741132,-0.3343683653093823
2.3524614925941,178.85596835,123.49152793,59.38230108,-1.57478934999997,-46.99036645,41.64441013,-0.9862588928927556,49.05032838166119,2.886232200496229,-0.533770707902129
2.21332355809097,178.17004198,122.39961998,60.01582271,-2.75270648999998,-48.6686906,42.23406987,-1.0053162817489572,68.74563595213318,2.9380919300411925,-0.7247683719502227
2.07693897271923,177.40975463,121.36314219,60.68978691,-3.97630455999999,-50.46607329,42.88582364,-1.0234062318082515,60.424331938958574,2.9828863863760224,-0.9059474136567927
1.94453751507563,176.80004212,120.49137511,61.08039337,-5.05629905000001,-51.80797015,43.20686555,-1.0386214376647482,31.456219207006697,3.0206155695007206,-1.0760780544250905
1.81712224629374,176.03314387,119.58096237,61.63045414,-6.31745430999999,-53.59148974,43.80287503,-1.0545111375298517,43.49362939431334,3.051279479415286,-1.2341572331215462
1.69543761974802,175.32766146,118.7633611,62.07810463,-7.45586631,-55.02939658,44.17576192,-1.0687809716598389,55.91810823114107,3.0748781161197174,-1.3794404963716973
1.57994647674872,174.70975566,118.04798269,62.30549436,-8.53127676999998,-56.22817605,44.33849137,-1.0812666803120206,54.50042614896011,3.091411479614016,-1.511465002865296
1.47081407758529,174.01770168,117.35573425,62.55761828,-9.70967803000002,-57.66736012,44.628374,-1.093348694831815,78.44455277851159,3.100879569898183,-1.6300654923128928
1.3678974003936,173.36712687,116.82726745,62.69074638,-10.81288445,-58.90162987,44.77876099,-1.1025721804792934,69.54638079564424,3.103282386972216,-1.7353849865786162
1.27073817975546,172.73681242,116.39756158,62.72935654,-11.87926949,-59.91474384,44.77776136,-1.11007196272594,51.23737777805726,3.098619930836116,-1.827881751080656
1.17855852924661,172.09846966,116.00502362,62.76896477,-12.95925784,-61.02019358,44.81708369,-1.1169230425670018,61.73134967458304,3.086892201489884,-1.908333672243274
1.09025844849558,171.51048817,115.73295746,62.63473521,-13.96714417,-61.86186833,44.63832878,-1.1216714928422595,58.2555369412141,3.068099198933518,-1.9778407504379378
1.00441499272215,170.92920539,115.53647437,62.42671482,-14.9665133,-62.6169235,44.38871787,-1.125100769687252,39.37535572728912,3.0422409231670198,-2.03782593044487
0.919283324440434,170.35970391,115.40213298,62.16311597,-15.95566371,-63.36144846,44.11084602,-1.1274454692644575,47.71906104140911,3.0093173741903883,-2.090034049749954
0.832800236589695,169.79015203,115.29352929,61.93287873,-16.97787859,-64.18569455,43.89880063,-1.1293409612347731,76.26212675931221,2.969328552003624,-2.136528315413929
0.742591023158105,169.28187592,115.34471858,61.46487423,-17.86325259,-64.5072942,43.31532659,-1.1284475395825146,61.60592682387777,2.9222744566067265,-2.1796834334486217
0.645980793803884,168.76831659,115.48753401,60.93444608,-18.77407274,-64.94882521,42.77014745,-1.125954940106363,35.57545629577108,2.868155087999697,-2.2221742941958134
