thigh,shank,foot,thigh_,shank_,foot_,knee_moment,shank_new,shank_new_second derivative,T_physics,knee_moment_minus_T_physics
183.47444846,21.37270431,-16.56334582,32.12646281,5.13014318,6.85698074,-0.262723759095918,-2.7685685933251105,6.727287826002737,-1.0665010948831417,0.8037773357872238
182.96642013,21.92150684,-18.51912128,31.02375775,5.75031429,4.37530376,-0.234137177347512,-2.758990182233336,16.939615941136132,0.5151226724038858,-0.7492598497513978
182.39530172,22.48958163,-20.4783624,29.86335103,6.4102631,1.86845349,-0.205716854724677,-2.74907540675026,32.00816387498584,2.8721154766930788,-3.077832331417756
181.78319254,23.11616875,-22.41948887,28.63554568,7.13109292,-0.588922450000005,-0.177994641243611,-2.7381393984556714,35.37378524603785,3.3513372039219598,-3.529331845165571
181.11821852,23.78985222,-24.32396557,27.32818638,7.91392997,-3.0670448,-0.151650044877773,-2.726381403787911,32.1978392767841,2.779760835854237,-2.93141088073201
180.42010693,24.51350752,-26.17047502,25.96313986,8.74935295,-5.48130847,-0.127311708122565,-2.713751236153404,26.99773723554788,1.879980357494916,-2.0072920656174813
179.66416384,25.27460284,-27.94136947,24.53696186,9.64302653,-7.81897784,-0.105380051922419,-2.700467616897884,24.311446878590992,1.37932390479545,-1.484703956717869
178.87478243,26.06553193,-29.65399112,23.05525344,10.57625154,-10.15909211,-0.0859855015143849,-2.6866633001275813,24.996860365136264,1.415832398797681,-1.501817900312066
178.05935965,26.89864779,-31.27493296,21.53240472,11.55298695,-12.39835864,-0.0690481067280166,-2.672122685319997,21.961720578613782,0.8536829582347201,-0.9227310649627367
177.19531582,27.7607778,-32.83304964,19.95421128,12.57595726,-14.60519301,-0.0543502492477229,-2.657075678065245,17.256490938812874,0.022246355905772397,-0.0765966051534953
176.31280275,28.64852413,-34.31696789,18.3481108,13.62582356,-16.73291943,-0.0415937885627192,-2.641581581684249,13.458930248497758,-0.6656504601463298,0.6240566715836106
175.39126229,29.55489608,-35.74585708,16.70062105,14.70668626,-18.83247412,-0.0304447606332399,-2.625762406909028,9.24027396955296,-1.4219087175060234,1.3914639568727836
174.44952996,30.47551446,-37.12788794,15.02946459,15.80510821,-20.88586405,-0.0205664984091739,-2.6096945850236515,4.800578722159443,-2.2140675722715444,2.1935010738623704
173.48511225,31.40195723,-38.47658812,13.33756416,16.91480005,-22.91379009,-0.0116423799697249,-2.593525108355855,0.7840158626315485,-2.9382655408506766,2.926623160880952
172.50039338,32.33001008,-39.80515048,11.62950712,18.02915177,-24.93143551,-0.0033896499245147,-2.577327530490838,-4.486091334903186,-3.8623692302816663,3.858979580357152
171.50251621,33.25351046,-41.08791499,9.90897043000001,19.14452218,-26.86831898,0.00443375413215,-2.561209408216419,-10.37447792929136,-4.884181934520472,4.888615688652622
170.48584474,34.15880229,-42.37829066,8.18788006,20.24248013,-28.85343983,0.0120267075113679,-2.5454090850915145,-13.62275208807162,-5.481192903163454,5.493219610674823
169.45894941,35.04562231,-43.64461315,6.46133108999999,21.32819808,-30.79962116,0.0195444642255158,-2.5299311558699125,-16.706665100545415,-6.049530067030286,6.069074531255802
168.42339721,35.90954188,-44.89110703,4.7361435,22.39308338,-32.70610437,0.0270996792082322,-2.5148529149009984,-20.957695491801157,-6.8018939127390805,6.828993591947313
167.37835155,36.74201202,-46.12185135,3.01516340000001,23.4291438,-34.60233511,0.0347650763565387,-2.5003235700334603,-24.855921537385584,-7.494439219852386,7.529204296208925
166.32696193,37.54020272,-47.32678169,1.29950013000001,24.43457242,-36.452724,0.0425774767850087,-2.4863925142596623,-28.386886675102478,-8.124691421126974,8.167268897911983
165.26831134,38.29598779,-48.50673682,-0.40753663000001,25.40054853,-38.28507029,0.0505425735385388,-2.4732015763507467,-31.299383920417867,-8.651878990088608,8.702421563627148
164.20470461,39.00821868,-49.64778246,-2.10560774000001,26.32760622,-40.05031403,0.0586399265135032,-2.460770802285837,-32.036691281613905,-8.826929946230143,8.885569872743647
163.13498387,39.6706313,-50.74979335,-3.79377552000003,27.20927169,-41.77012965,0.066827796606618,-2.449209521060075,-37.58058827890931,-9.766529448500128,9.833357245106747
162.0649211,40.29267792,-51.80626932,-5.47782103,28.04742944,-43.44733809,0.0750475664242921,-2.438352759440172,-44.46110205061249,-10.916327107866953,10.991374674291245
160.9767904,40.8299539,-52.80801611,-7.13473550000001,28.82276804,-45.02200658,0.0832276026058695,-2.428975524597294,-41.295666454095326,-10.45174628429779,10.53497388690366
159.88909895,41.32239381,-53.75096523,-8.78678975,29.54947354,-46.53858466,0.0912865591871055,-2.420380826799569,-40.5395810954845,-10.368869021234204,10.46015558042131
158.79840325,41.75266976,-54.630423,-10.42321673,30.21646371,-47.97864203,0.0991362877355468,-2.4128710947799226,-42.18610551320445,-10.665365482537467,10.764501770273014
157.7069404,42.11983501,-55.44512762,-12.03986655,30.81969911,-49.33903767,0.106684451302886,-2.4064628522685143,-43.35078117635227,-10.879743618946929,10.986428070249815
156.63190287,42.43367704,-56.1921334,-13.64476994,31.35956204,-50.6210788,0.113836678812127,-2.400985275513872,-53.302013271370186,-12.495771666425235,12.609608345237362
155.54154412,42.66889453,-56.88051375,-15.22341932,31.82914943,-51.82048333,0.120498079943458,-2.396879955855095,-56.182129423074656,-12.974372977234722,13.09487105717818
154.42813696,42.80928628,-57.52569684,-16.76686956,32.21402727,-52.9621483,0.126574148383071,-2.3944296575749577,-39.71086386006739,-10.34955228449691,10.476126432879981
153.33502903,42.89605416,-58.08337326,-18.28929507,32.52982795,-54.00127836,0.131971192736446,-2.392915272383983,-40.98190861447026,-10.559447439999463,10.691418632735909
152.28804624,42.95736903,-58.54767955,-19.8060113,32.79248566,-54.92531853,0.136596436324534,-2.3918451260220506,-57.89367433673309,-13.269937455227195,13.40653389155173
151.19493388,42.88840475,-58.9847057,-21.26359865,32.94552057,-55.81424172,0.140357913266482,-2.393048779774318,-48.681187754207045,-11.79075696653188,11.931114879798363
150.13563122,42.77374546,-59.35132921,-22.69818721,33.02632395,-56.61883202,0.143164273575139,-2.3950499619028167,-35.16965153672391,-9.620281747308844,9.763446020883983
149.09942733,42.60183268,-59.64556754,-24.10286703,33.03149116,-57.33634662,0.144924596184352,-2.3980504059400736,-43.098150003109126,-10.875873144926913,11.020797741111265
148.10073964,42.38861463,-59.86392454,-25.48487367,32.96883408,-57.95817509,0.145548298079123,-2.4017717629372557,-51.72213250582036,-12.239576329977545,12.38512462805667
147.09239639,42.0683264,-60.0483684,-26.81183828,32.80030156,-58.54342175,0.144945220057405,-2.40736184710614,-41.9339490695192,-10.649127965068503,10.794073185125908
146.12293747,41.70713781,-60.15461831,-28.1078014,32.56039189,-59.0321886,0.14302596315309,-2.413665777222276,-38.80765946281617,-10.121326896704591,10.26435285985768
145.18653153,41.29455629,-60.18956151,-29.36824667,32.2441202,-59.43123054,0.139702542846901,-2.4208666831791588,-45.72514978004261,-11.196414051653505,11.336116594500407
144.26584377,40.80330948,-60.1790552,-30.58297048,31.83648221,-59.78227829,0.134889419773612,-2.429440557453578,-44.73889214500204,-11.000592991461755,11.135482411235367
143.3776612,40.25880037,-60.09290479,-31.75711406,31.3518124,-60.03344388,0.128504954476412,-2.4389440342301816,-42.09308470006334,-10.534791814135918,10.66329676861233
142.52497332,39.64314618,-59.93694897,-32.880731,30.7783264,-60.17929948,0.12047331878635,-2.4496892268993804,-40.20256150758961,-10.183873587523975,10.304346906310325
141.68402468,38.98186884,-59.73670851,-33.97431253,30.13806721,-60.31335323,0.110726876888714,-2.4612306937512107,-42.41292152146858,-10.4850251089896,10.595751985878314
140.88240468,38.25263917,-59.45636835,-35.01397528,29.41238823,-60.32717282,0.0992090248096621,-2.4739581524959418,-43.00990441081343,-10.522069823580004,10.621278848389666
140.10983595,37.46192917,-59.10882248,-36.00703992,28.60927561,-60.2554406,0.0858774481566659,-2.4877586454243867,-41.70209429569472,-10.248751842524737,10.334629290681402
139.37308518,36.61570356,-58.68594647,-36.9453177,27.72729142,-60.0840518,0.0707077251862139,-2.5025280685335844,-43.07272753721225,-10.398732346454416,10.46944007164063
138.67308648,35.7030541,-58.18995641,-37.84021889,26.77410285,-59.82272265,0.0536971668331606,-2.518456806527132,-40.719329064500265,-9.946569498025926,10.000266664859087
137.97603222,34.7319794,-57.64008759,-38.69376348,25.76081576,-59.50654247,0.0348687489650311,-2.5354052573249484,-38.23737836571528,-9.468041807173101,9.502910556138133
137.3463169,33.71087446,-56.99917774,-39.49010201,24.67205277,-59.06185684,0.0142749571627706,-2.553226900536328,-38.161912074179405,-9.369319563446854,9.383594520609625
136.7167638,32.6291712,-56.30413383,-40.23856172,23.52912625,-58.56498624,-0.0079986664650435,-2.572106183952884,-35.36348431279368,-8.828651349053152,8.820652682588108
136.14088904,31.50004317,-55.53031645,-40.93307369,22.32371429,-57.96579144,-0.0318305086675321,-2.591813185752941,-31.91781167027674,-8.179145205256278,8.147314696588746
135.60035085,30.32374516,-54.69207766,-41.57673441,21.06765113,-57.28675746,-0.0570606507536788,-2.612343459012098,-29.00723079646728,-7.609883070920397,7.552822420166718
135.10098308,29.10633629,-53.79616037,-42.17020198,19.76660822,-56.54050787,-0.083489664181156,-2.6335912521365823,-24.336200883370296,-6.754012343399416,6.67052267921826
134.63782285,27.85211993,-52.84805739,-42.71429093,18.43031358,-55.73194896,-0.110878672451814,-2.65548145715096,-19.77293108896383,-5.910752754378938,5.799874081927125
134.23135668,26.57319325,-51.86188337,-43.20008432,17.05107953,-54.85265291,-0.138950886436354,-2.6778029386085604,-15.185861984852169,-5.060101200865246,4.921150314428892
133.8469782,25.26720415,-50.83564749,-43.65062108,15.67250413,-53.97037306,-0.167394774067544,-2.700596748398718,-7.480852929173665,-3.7067574359955247,3.5393626619279805
133.52152301,23.95304163,-49.79585409,-44.04656477,14.27171388,-53.05006087,-0.195868962478586,-2.723533211279024,0.039915679996838,-2.3808216649012492,2.184952702422663
133.24397894,22.63942624,-48.7559456,-44.39672343,12.86963548,-52.12162102,-0.224008892205881,-2.7464601249393934,6.503929314987111,-1.2227627020371405,0.9987538098312596
133.02369794,21.33311871,-47.71518825,-44.70087222,11.47414738,-51.20079605,-0.25143515141302,-2.7692594923814875,13.664512581081922,0.04723848444708345,-0.2986736358601034
132.85325839,20.0489131,-46.69740299,-44.96515548,10.10143383,-50.30207334,-0.27776331758526,-2.79167310854857,21.337630980666766,1.39822624948789,-1.6759895670731502
132.74070493,18.79148768,-45.69897109,-45.18737855,8.75548156,-49.43216612,-0.302615029637118,-2.813619322225843,30.626824783834827,3.0061966721382447,-3.3088117017753627
132.68288344,17.58065558,-44.75036151,-45.37257745,7.45095194,-48.61171803,-0.325629909138054,-2.83475232905968,37.92090653909508,4.291302490806651,-4.616932399944705
132.68163495,16.42533543,-43.85333377,-45.52315924,6.19762111000001,-47.84841107,-0.346477850734693,-2.854916469591815,47.29897948908324,5.905174842789787,-6.25165269352448
132.73553255,15.32966885,-43.02650313,-45.63308502,4.99472981,-47.13444321,-0.3648711150493,-2.8740394589168803,53.30726845774514,6.974652765914659,-7.3395238809639585
132.84864874,14.33018637,-42.24581219,-45.74724825,3.89426681,-46.51689094,-0.380575587687408,-2.8914837190088787,57.26151608166585,7.706486678639276,-8.087062266326685
133.00100151,13.38411027,-41.53455247,-45.80330354,2.8425811,-45.95431858,-0.393420519842497,-2.907995861928306,65.51077813930827,9.120633177304477,-9.514053697146974
133.22336747,12.56312163,-40.89066527,-45.85609215,1.89560861,-45.45732742,-0.403306038796461,-2.922324816817776,58.13075986232264,8.021933093229007,-8.42523913202547
133.47654338,11.8139008,-40.31140179,-45.87866598,1.02991711,-45.02715338,-0.410207702419681,-2.935401187125801,61.371544813297874,8.615613993342484,-9.025821695762165
133.74522535,11.12912161,-39.79357755,-45.85342241,0.237123629999997,-44.63161961,-0.414177392864656,-2.9473528386404406,78.08430111294395,11.35852645457486,-11.772703847439518
134.0844077,10.59532438,-39.31341546,-45.86774403,-0.411984929999999,-44.31861723,-0.415339947814711,-2.9566693578419665,65.88548985773102,9.46051608816691,-9.875856035981622
134.44630875,10.14251168,-38.87399002,-45.82659862,-0.990393720000002,-44.01348002,-0.413885074233374,-2.964572430351811,57.34873716569666,8.140346714016312,-8.554231788249686
134.81273315,9.75424401,-38.4362874,-45.76454023,-1.47551426,-43.70384707,-0.410054201668594,-2.9713489795723587,64.43733432681675,9.313769160294532,-9.723823361963126
135.21439589,9.48448581,-38.01693091,-45.72054708,-1.83600657,-43.36135742,-0.40412203873502,-2.976057148346612,58.15946703787489,8.336605153120772,-8.740727191855791
135.62385789,9.28236236999999,-37.57934808,-45.63427134,-2.12921935,-42.99278143,-0.396372754382659,-2.979584867870069,48.01719469357924,6.734307003959471,-7.13067975834213
136.04771848,9.15968914,-37.12529328,-45.52499652,-2.34348796,-42.59258879,-0.38707090982092,-2.981725919637625,43.56393649256329,6.034212387839501,-6.4212832976604215
136.4696913,9.08559899,-36.62480342,-45.38279662,-2.49511242,-42.08882378,-0.376427507043813,-2.9830190366984217,43.225763242022985,5.987612020216697,-6.36403952726051
136.90613995,9.08449544,-36.07896317,-45.23923883,-2.56899879,-41.50546588,-0.364547461580407,-2.983038297279382,34.275981873177486,4.555758832673901,-4.920306294254308
137.34124957,9.13650099,-35.47013895,-45.11684213,-2.56216285,-40.79833311,-0.351328673845406,-2.982130629202572,22.7680068425018,2.7092130680318953,-3.0605417418773015
137.78082557,9.20568865,-34.80535935,-44.921283,-2.56093582,-39.99170997,-0.336336848636959,-2.9809230767338213,22.02289611422437,2.582985709373477,-2.9193225580104363
138.23570691,9.31785405999999,-34.10398923,-44.72137076,-2.52761596000001,-39.08782269,-0.318762623227401,-2.978965421022472,20.141551608294783,2.2706096400672973,-2.589372263294698
138.703139,9.45306376,-33.36949874,-44.50406525,-2.48629805,-38.08294424,-0.297536360877853,-2.976605566576838,14.541737752429285,1.360949231376944,-1.658485592254797
139.19867463,9.61460972,-32.61170822,-44.26980276,-2.45264596,-36.98821458,-0.271583592136562,-2.9737860576815427,11.896546408687314,0.9213688953498254,-1.1929524874863873
139.72505204,9.78375689,-31.84355796,-43.99121875,-2.46171784,-35.816854,-0.240165376766548,-2.970833882644612,14.46557332918541,1.3153025484045338,-1.5554679251710817
140.28305713,9.97952757,-31.08945546,-43.69127894,-2.50182407,-34.56770201,-0.203184004250409,-2.967417039699745,13.442023244047974,1.131741571234207,-1.3349255754846159
140.88731414,10.19733165,-30.3573359,-43.36560924,-2.57587714,-33.25667381,-0.161262191985895,-2.963615641379467,7.580163908955662,0.17183746598154537,-0.33309965796744034
141.49445116,10.42146254,-29.64650951,-42.9988951,-2.69325945,-31.86720724,-0.115522796795135,-2.9597038193935417,4.396301126194935,-0.3602107347616802,0.2446879379665452
142.12109134,10.65433755,-28.9770753,-42.59379761,-2.84437061,-30.40687981,-0.0672275706549148,-2.955639383723427,3.3960145346378923,-0.5437523799569367,0.4765248093020219
142.75414795,10.88858646,-28.34451146,-42.14227107,-3.03193306,-28.87131594,-0.0175089229193639,-2.9515509689747192,-0.5764386187046,-1.2029611751647182,1.1854522522453543
143.40812951,11.13080118,-27.75591559,-41.64411541,-3.25149464,-27.26342948,0.0326766046544986,-2.947323524613923,-3.6707049242945535,-1.7224436359655968,1.7551202406200954
144.020009,11.35240763,-27.1881398,-41.07508279,-3.51657011,-25.55026147,0.0824222669776851,-2.9434557624177677,-2.9928295147874096,-1.6362896585063447,1.7187119254840297
144.6733955,11.58623322,-26.66087406,-40.4543238,-3.81349212,-23.76778562,0.13074560077303,-2.9393747359968483,-11.388428703571485,-3.003102770550908,3.1338483713239382
145.30136204,11.79908115,-26.14773945,-39.75668274,-4.15792584,-21.88022167,0.176590789093089,-2.935659838812294,-14.592530324324391,-3.537149332003396,3.7137401210964853
145.8958127,11.97641437,-25.64314093,-38.97837746,-4.55166675,-19.88693504,0.218945074539447,-2.932564790250131,-8.956305409593135,-2.6531619136379616,2.872106988177409
146.53517143,12.16214563,-25.1572594,-38.13401632,-4.98891702,-17.82911061,0.256982590815735,-2.9293231682392533,-14.409679159896882,-3.544341114619437,3.8013237054351716
147.15408495,12.31527967,-24.65991145,-37.20620486,-5.48071309000001,-15.67290352,0.290165428636223,-2.9266504750443727,-18.694143078290537,-4.24521360648453,4.535379035120753
147.77269831,12.44264873,-24.15911191,-36.19919791,-6.02720864,-13.44692961,0.318268158096685,-2.9244274655822022,-16.43981298456776,-3.897288190615671,4.215556348712356
148.39797887,12.54703542,-23.64762925,-35.11432715,-6.63034751,-11.16614818,0.341331599314477,-2.922605574146444,-16.56958519576701,-3.9285107390153424,4.26984233832982
149.03228777,12.62895864,-23.11957798,-33.95464765,-7.2910598,-8.84322199999999,0.359582856591734,-2.921175744223608,-15.030901181884992,-3.6905266026578984,4.050109459249632
149.66338267,12.68385444,-22.5721188,-32.72741425,-8.00416847,-6.49641688,0.373352547476817,-2.9202176317680912,-13.279451060204115,-3.415791393904616,3.789143941381433
150.33394284,12.72914783,-22.00631034,-31.42121465,-8.78797807999999,-4.147628,0.383005395241114,-2.919427112983202,-16.370074863631956,-3.9148256152425756,4.29783101048369
150.98858277,12.74458781,-21.43313615,-30.06334436,-9.61522345,-1.81861254,0.388893807582419,-2.9191576344957597,-17.407023841475855,-4.082282994390883,4.471176801973302
151.66182819,12.7355434,-20.82966702,-28.63401139,-10.50961394,0.500578649999998,0.391331094710722,-2.9193154892291595,-15.77786195917863,-3.820711758796043,4.212042853506765
152.34239165,12.70558628,-20.21920703,-27.15080757,-11.45660827,2.77845142,0.390582563385937,-2.919838339607575,-14.68175853699627,-3.642336309466076,4.032918872852013
153.02532813,12.65153848,-19.59898044,-25.6196915,-12.45145227,5.019914,0.38687815581422,-2.9207816516710348,-10.982114308357716,-3.0449818042091015,3.4318599600233215
153.71477646,12.58246447,-18.96955492,-24.04944999,-13.48589498,7.22602832,0.380434256562754,-2.92198722057309,-5.008953581544517,-2.082358522289842,2.462792778852596
154.41200272,12.50461068,-18.33065636,-22.44649993,-14.5533206,9.40581798,0.371467752504819,-2.923346025543746,-3.786689034419588,-1.878997127954737,2.250464880459556
155.1149559,12.43064347,-17.67310922,-20.82779583,-15.63454423,11.5709696,0.360200466220065,-2.92463699689676,-8.355341424253204,-2.6025696070800475,2.9627700733001125
155.81516415,12.33598675,-17.02727798,-19.17777294,-16.74643421,13.71293238,0.346852032410927,-2.9262890683198988,-7.926418033914473,-2.5244536883758544,2.8713057207867814
156.51349764,12.23094989,-16.38849083,-17.50992515,-17.87098103,15.84557816,0.331622277693489,-2.928122307362855,-4.351549138847943,-1.9419419949161036,2.2735642726095926
157.20989253,12.12194779,-15.75653823,-15.83310145,-18.99744493,17.97729645,0.314685173301382,-2.930024752899443,-4.502780173210041,-1.955204245920172,2.269889419221554
157.90014976,12.00632377,-15.12948521,-14.14947475,-20.12007797,20.11706404,0.296201338946,-2.932042772742834,-4.908530827050228,-2.0085204643099184,2.3047218032559185
158.57953285,11.8821098,-14.51130711,-12.46256906,-21.23192841,22.26314063,0.276330110580102,-2.9342107154963086,-4.3241108176728105,-1.902541750917563,2.178871861497665
